symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
CBS,2017-08-16,65.655500,66.070000,False,65.300200,65.981200,reg,1808631
CBS,2017-08-17,64.836300,66.237800,False,64.732700,65.586400,reg,2756424
CBS,2017-08-18,63.957900,64.984300,False,63.938100,64.915200,reg,1922117
CBS,2017-08-21,64.165100,64.392100,False,63.849300,64.076300,reg,1357428
CBS,2017-08-22,64.796800,65.083000,False,64.026900,64.263800,reg,1237303
CBS,2017-08-23,63.878900,64.648800,False,63.513700,64.421700,reg,1972608
CBS,2017-08-24,63.148500,64.254000,False,63.148500,64.056600,reg,2233271
CBS,2017-08-25,63.059700,63.839400,False,62.921500,63.267000,reg,1792224
CBS,2017-08-28,62.921500,63.790100,False,62.714200,63.296600,reg,1301353
CBS,2017-08-29,62.447700,62.921500,False,62.220700,62.526700,reg,2210772
CBS,2017-08-30,63.671600,63.711100,False,62.220700,62.437900,reg,2319840
CBS,2017-08-31,63.227500,64.145400,False,63.178100,63.730800,reg,1508741
CBS,2017-09-01,63.503800,63.849300,False,63.188000,63.395300,reg,977372
CBS,2017-09-05,62.812900,63.671600,False,62.487200,63.267000,reg,1735223
CBS,2017-09-06,61.174500,62.990600,False,61.036300,62.990600,reg,3733172
CBS,2017-09-07,59.887700,61.362600,False,58.650300,61.342800,reg,6183504
CBS,2017-09-08,58.818600,59.778800,False,58.086100,59.630300,reg,5201381
CBS,2017-09-11,57.413000,59.313500,False,57.333800,59.184800,reg,5047231
CBS,2017-09-12,58.224700,58.848300,False,57.046700,57.472400,reg,3634048
CBS,2017-09-13,59.897600,59.986600,False,58.402800,58.402800,reg,3588771
CBS,2017-09-14,57.561400,59.551100,False,57.007100,59.471900,reg,5421773
CBS,2017-09-15,57.640600,58.238500,False,57.304100,57.304100,reg,4952980
CBS,2017-09-18,57.135800,58.209800,False,56.868500,57.749500,reg,2822953
CBS,2017-09-19,58.254400,58.392900,False,56.858600,57.244700,reg,4056804
CBS,2017-09-20,58.452300,58.788900,False,58.076200,58.313800,reg,1793680
CBS,2017-09-21,58.195000,58.551300,False,57.957400,58.402800,reg,1581857
CBS,2017-09-22,58.630500,58.660200,False,57.690100,58.135600,reg,1988782
CBS,2017-09-25,59.491700,60.125200,False,58.660200,58.798800,reg,4654948
CBS,2017-09-26,57.413000,59.600600,False,57.403100,59.392700,reg,3754810
CBS,2017-09-27,57.620800,58.066300,False,56.888300,57.462500,reg,4550389
CBS,2017-09-28,56.343900,57.610900,False,56.343900,57.383300,reg,3647141
CBS,2017-09-29,57.413000,57.512000,False,56.334000,56.482500,reg,5982394
CBS,2017-10-02,57.957400,58.115800,False,57.017000,57.779200,reg,3511908
CBS,2017-10-03,58.294000,58.442400,False,57.561400,57.848500,reg,3558283
CBS,2017-10-04,59.363000,59.531300,False,58.066300,58.214800,reg,4217996
CBS,2017-10-05,58.303900,59.669900,False,57.917800,59.303600,reg,3967343
CBS,2017-10-06,57.709900,58.284100,False,57.343700,58.185100,reg,2352066
CBS,2017-10-09,57.333800,57.898000,False,57.254600,57.759400,reg,1262520
CBS,2017-10-10,56.809100,57.917800,False,56.541900,57.729700,reg,2848545
CBS,2017-10-11,56.522100,56.809100,False,55.789600,56.185500,reg,4973413
CBS,2017-10-12,55.938000,56.690400,False,55.799500,56.027100,reg,3857279
CBS,2017-10-13,56.423100,56.739800,False,55.651000,55.868800,reg,2699990
CBS,2017-10-16,56.324100,57.017000,False,56.007300,56.413200,reg,2987608
CBS,2017-10-17,56.086500,56.363700,False,55.779700,56.165700,reg,2288582
CBS,2017-10-18,56.383500,57.254600,False,55.938000,56.136000,reg,3243482
CBS,2017-10-19,57.244700,57.304100,False,56.126100,56.274600,reg,1966845
CBS,2017-10-20,58.323700,58.670100,False,57.620800,57.759400,reg,7968950
CBS,2017-10-23,57.363500,58.224700,False,57.254600,58.224700,reg,3633097
CBS,2017-10-24,56.363700,57.521900,False,56.324100,57.066500,reg,4457105
CBS,2017-10-25,56.650800,56.873500,False,55.977600,56.373600,reg,2564017
CBS,2017-10-26,56.462700,57.422900,False,56.185500,56.512200,reg,6161269
CBS,2017-10-27,56.175600,56.601300,False,54.948200,56.492400,reg,4936987
CBS,2017-10-30,55.552000,56.660700,False,55.552000,55.938000,reg,4882154
CBS,2017-10-31,55.552000,55.878700,False,55.235200,55.621300,reg,5025223
CBS,2017-11-01,55.621300,56.136000,False,55.175800,55.641100,reg,7009898
CBS,2017-11-02,53.908800,55.502500,False,53.453500,55.502500,reg,12759699
CBS,2017-11-03,54.839300,55.631200,False,52.216100,53.413900,reg,15150100
CBS,2017-11-06,56.383500,56.670600,False,54.068200,54.641300,reg,10498182
CBS,2017-11-07,57.026900,58.650300,False,56.551800,56.591400,reg,15637219
CBS,2017-11-08,56.670600,57.254600,False,56.027100,56.789300,reg,12565659
CBS,2017-11-09,57.492200,58.105900,False,56.096400,56.225100,reg,12348718
CBS,2017-11-10,56.165700,58.303900,False,55.908300,57.917800,reg,17567296
CBS,2017-11-13,55.354000,56.165700,False,54.760100,56.007300,reg,21413836
CBS,2017-11-14,55.839100,56.175600,False,54.146400,55.354000,reg,23062473
CBS,2017-11-15,55.472800,56.175600,False,55.067000,55.759900,reg,29475697
CBS,2017-11-16,55.829200,57.017000,False,55.086800,55.106500,reg,29783811
CBS,2017-11-17,56.165700,56.670600,False,54.601700,55.730200,reg,29535496
CBS,2017-11-20,55.363900,56.710200,False,55.294600,56.066700,reg,10854900
CBS,2017-11-21,56.165700,56.294400,False,55.215400,55.324300,reg,14975149
CBS,2017-11-22,55.670800,56.640900,False,55.294600,56.066700,reg,6799756
CBS,2017-11-24,55.967700,56.383500,False,55.641100,55.928100,reg,3207803
CBS,2017-11-27,55.393600,56.175600,False,54.928400,56.155800,reg,6221659
CBS,2017-11-28,54.205800,55.304500,False,53.859300,55.304500,reg,7858616
CBS,2017-11-29,55.967700,56.175600,False,54.007800,54.235500,reg,7724115
CBS,2017-11-30,55.492600,56.264700,False,55.047200,55.957800,reg,6163492
CBS,2017-12-01,56.532000,56.710200,False,54.948200,55.324300,reg,5410523
CBS,2017-12-04,59.491700,59.531300,False,56.927900,56.987300,reg,6750877
CBS,2017-12-05,57.512000,59.679800,False,57.492200,59.551100,reg,4501128
CBS,2017-12-06,56.848700,58.026700,False,56.729900,57.759400,reg,2798507
CBS,2017-12-07,56.621100,57.512000,False,56.462700,56.710200,reg,2964510
CBS,2017-12-08,57.067900,57.296300,False,56.184100,57.067900,reg,2519846
CBS,2017-12-11,57.276400,57.494900,False,56.511800,57.465100,reg,4317138
CBS,2017-12-12,57.564400,57.733200,False,56.779900,57.564400,reg,3253434
CBS,2017-12-13,56.770000,57.743200,False,56.725300,57.485000,reg,3145222
CBS,2017-12-14,57.723300,58.160200,False,57.107600,57.594200,reg,4458602
CBS,2017-12-15,58.487900,58.706400,False,57.792800,58.070800,reg,4759997
CBS,2017-12-18,58.587200,59.148300,False,58.170100,58.676600,reg,3653015
CBS,2017-12-19,59.044000,59.590100,False,58.587200,58.636900,reg,3018790
CBS,2017-12-20,59.659700,60.046900,False,58.428300,59.431300,reg,5498510
CBS,2017-12-21,60.106500,60.344800,False,59.351800,59.629900,reg,5008539
CBS,2017-12-22,59.749000,60.235600,False,59.540500,59.937700,reg,2404502
CBS,2017-12-26,59.768900,59.997300,False,59.451100,59.451100,reg,1647914
CBS,2017-12-27,58.875200,59.957600,False,58.557400,59.927800,reg,3696268
CBS,2017-12-28,58.845400,59.173100,False,58.531300,58.895000,reg,2136811
CBS,2017-12-29,58.587200,59.024100,False,58.458100,58.875200,reg,2334987
CBS,2018-01-02,58.756000,59.133400,False,57.782900,57.782900,reg,3177671
CBS,2018-01-03,58.785800,58.994300,False,58.348900,58.785800,reg,2966279
CBS,2018-01-04,57.594200,59.083700,False,57.018300,59.014200,reg,6646527
CBS,2018-01-05,57.177100,57.882200,False,56.988500,57.852400,reg,3170137
CBS,2018-01-08,56.362900,57.236700,False,56.035200,57.177100,reg,3633141
CBS,2018-01-09,55.598300,56.462200,False,55.474100,56.243700,reg,5276572
CBS,2018-01-10,56.263600,56.849500,False,55.290400,55.846500,reg,3773426
CBS,2018-01-11,57.375700,57.485000,False,56.432400,56.452300,reg,3483080
CBS,2018-01-12,58.418400,59.034100,False,56.859400,57.375700,reg,6280314
CBS,2018-01-16,59.014200,59.778800,False,58.041100,58.775900,reg,5830865
CBS,2018-01-17,58.487900,60.573200,False,57.624000,59.113500,reg,5879816
CBS,2018-01-18,59.580200,61.159100,False,58.607100,58.865300,reg,7368913
CBS,2018-01-19,57.346000,59.768900,False,57.266500,59.570300,reg,6221146
CBS,2018-01-22,57.842500,57.852400,False,56.164300,56.779900,reg,6673917
CBS,2018-01-23,57.117600,58.120500,False,56.760100,57.643900,reg,4838921
CBS,2018-01-24,58.815600,58.865300,False,57.206900,57.355900,reg,3909427
CBS,2018-01-25,58.855300,59.679500,False,58.060900,58.875200,reg,4618556
CBS,2018-01-26,59.580200,59.649700,False,58.994300,59.173100,reg,2829344
CBS,2018-01-29,58.319100,59.113500,False,58.180100,58.895000,reg,4499715
CBS,2018-01-30,57.991400,58.875200,False,57.951700,58.130400,reg,2663067
CBS,2018-01-31,57.206900,58.711300,False,56.750200,58.090700,reg,4435144
CBS,2018-02-01,58.517700,59.173100,False,57.256600,57.256600,reg,3933301
CBS,2018-02-02,55.012400,58.676600,False,54.903200,58.666600,reg,7625902
CBS,2018-02-05,53.701600,55.786900,False,53.612300,54.863400,reg,4686617
CBS,2018-02-06,53.433500,54.436500,False,52.508700,52.728500,reg,4368497
CBS,2018-02-07,53.066100,54.515900,False,52.927100,53.532800,reg,4062203
CBS,2018-02-08,51.437600,53.592400,False,51.378000,53.175300,reg,4790143
CBS,2018-02-09,52.390900,52.867500,False,50.275800,51.715600,reg,4509499
CBS,2018-02-12,52.788100,53.215100,False,52.351100,52.817900,reg,4591383
CBS,2018-02-13,54.287500,54.317300,False,52.609300,52.659000,reg,4699402
CBS,2018-02-14,55.459200,55.702500,False,53.681800,53.890300,reg,4108214
CBS,2018-02-15,56.343000,56.670700,False,55.052200,55.677700,reg,5333672
CBS,2018-02-16,55.002500,57.077800,False,54.635100,56.601200,reg,5503864
CBS,2018-02-20,55.856400,56.362900,False,54.714500,54.823700,reg,3267535
CBS,2018-02-21,54.992500,55.846500,False,54.933000,55.459200,reg,2638074
CBS,2018-02-22,53.940000,55.662800,False,53.810900,55.350000,reg,2833222
CBS,2018-02-23,54.734400,54.813800,False,53.860500,54.307400,reg,2855572
CBS,2018-02-26,55.290400,55.429500,False,54.342100,54.863400,reg,1982051
CBS,2018-02-27,53.771100,55.687600,False,53.751300,55.211000,reg,2437258
CBS,2018-02-28,52.599400,54.059100,False,52.579500,53.810900,reg,3082288
CBS,2018-03-01,51.745400,52.788100,False,51.288600,52.678800,reg,2594559
CBS,2018-03-02,52.946900,53.066100,False,51.407800,51.536900,reg,3410997
CBS,2018-03-05,53.036300,53.423600,False,52.629200,52.728500,reg,2390342
CBS,2018-03-06,52.857600,53.373900,False,51.700700,53.086000,reg,3460589
CBS,2018-03-07,51.745400,52.698700,False,51.437600,52.520000,reg,3806027
CBS,2018-03-08,52.472800,52.557500,False,51.815200,51.815200,reg,2106083
CBS,2018-03-09,51.994500,53.010900,False,50.360400,52.702000,reg,8606576
CBS,2018-03-12,52.104100,52.652200,False,51.914800,52.094200,reg,8704397
CBS,2018-03-13,51.715500,52.512700,False,51.546100,52.263600,reg,5230548
CBS,2018-03-14,51.087800,51.934700,False,50.898400,51.595900,reg,3215862
CBS,2018-03-15,50.858600,51.595900,False,50.450000,51.267100,reg,2536943
CBS,2018-03-16,50.768900,51.516200,False,50.749000,50.958200,reg,5182608
CBS,2018-03-19,50.629400,51.077800,False,49.961800,50.778900,reg,4029911
CBS,2018-03-20,50.081400,50.818700,False,49.902000,50.729000,reg,2609335
CBS,2018-03-21,50.689200,51.037900,False,49.931900,50.071400,reg,2815177
CBS,2018-03-22,50.081400,50.758900,False,50.051500,50.310500,reg,2488229
CBS,2018-03-23,49.094900,50.768900,False,49.065000,50.210900,reg,2825832
CBS,2018-03-26,51.506300,51.576000,False,49.433700,49.682800,reg,4735146
CBS,2018-03-27,52.163900,52.612300,False,51.446500,51.835100,reg,4267378
CBS,2018-03-28,51.695600,53.240100,False,51.466400,52.243600,reg,3730243
CBS,2018-03-29,51.207300,51.894900,False,50.470000,51.715500,reg,4046088
CBS,2018-04-02,50.529800,51.326900,False,50.146100,51.217300,reg,3175222
CBS,2018-04-03,52.672100,52.821600,False,50.908400,51.506300,reg,5425411
CBS,2018-04-04,53.598800,53.698400,False,51.406600,51.735500,reg,6509032
CBS,2018-04-05,52.692000,53.678500,False,52.343300,53.509100,reg,6397705
CBS,2018-04-06,52.652200,53.120500,False,51.964600,52.452900,reg,3243094
CBS,2018-04-09,52.662100,53.080700,False,52.413000,52.791700,reg,2654273
CBS,2018-04-10,51.934700,53.020900,False,51.894900,52.901300,reg,3985517
CBS,2018-04-11,50.828700,52.154000,False,49.991700,51.556100,reg,6767605
CBS,2018-04-12,49.882100,51.062800,False,49.473500,50.968200,reg,6522450
CBS,2018-04-13,49.892000,51.167500,False,49.588100,50.001600,reg,2951414
CBS,2018-04-16,50.719100,50.978200,False,49.702700,50.151100,reg,3180953
CBS,2018-04-17,50.958200,51.411600,False,50.360400,50.888500,reg,2222071
CBS,2018-04-18,50.988100,51.665700,False,50.968200,51.127600,reg,1281275
CBS,2018-04-19,50.768900,51.805200,False,50.749000,51.077800,reg,2446930
CBS,2018-04-20,49.154700,50.838600,False,48.865700,50.818700,reg,4512591
CBS,2018-04-23,49.533300,49.852200,False,49.045000,49.184500,reg,2307733
CBS,2018-04-24,49.772500,50.410200,False,49.403800,49.772500,reg,2477684
CBS,2018-04-25,50.240800,50.639400,False,49.513400,49.762500,reg,2375919
CBS,2018-04-26,49.852200,50.412100,False,49.692700,50.191000,reg,1746613
CBS,2018-04-27,49.792400,50.101300,False,49.294200,50.011600,reg,4060685
CBS,2018-04-30,49.025100,50.001600,False,48.975300,50.001600,reg,2281527
CBS,2018-05-01,49.433700,49.463600,False,48.357500,48.965300,reg,2262106
CBS,2018-05-02,48.815900,49.882100,False,48.686300,49.344000,reg,2429580
CBS,2018-05-03,48.566800,48.945400,False,47.371000,48.756100,reg,3956043
CBS,2018-05-04,52.981000,53.090600,False,49.204500,49.822300,reg,8772506
CBS,2018-05-07,52.233700,52.831500,False,51.356800,52.781700,reg,4781997
CBS,2018-05-08,51.087800,52.542600,False,50.699100,52.233700,reg,2854324
CBS,2018-05-09,51.257200,51.735500,False,50.808800,51.107700,reg,1655779
CBS,2018-05-10,52.134000,52.203800,False,51.167500,51.496300,reg,1764877
CBS,2018-05-11,52.333300,52.403100,False,51.755400,52.154000,reg,2489509
CBS,2018-05-14,53.459300,55.272800,False,52.383100,52.911300,reg,9292673
CBS,2018-05-15,54.226600,55.302700,False,53.778200,54.176700,reg,6122269
CBS,2018-05-16,53.638700,54.435800,False,53.220200,54.326200,reg,4001139
