symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
EFX,2017-08-16,141.170100,141.574800,False,140.676500,141.347800,reg,485766
EFX,2017-08-17,138.830400,141.318100,False,138.781000,141.110800,reg,381584
EFX,2017-08-18,138.099900,139.197600,False,137.941900,139.096900,reg,530586
EFX,2017-08-21,138.050500,138.534200,False,137.359500,138.277600,reg,391294
EFX,2017-08-22,140.400000,140.538200,False,137.675400,138.020900,reg,609388
EFX,2017-08-23,139.558600,140.974200,False,139.340800,139.944700,reg,281627
EFX,2017-08-24,138.964700,139.806100,False,138.737000,139.806100,reg,221816
EFX,2017-08-25,139.281400,139.756600,False,138.974600,139.697200,reg,304007
EFX,2017-08-28,139.202200,139.855600,False,138.677600,139.578400,reg,476730
EFX,2017-08-29,139.380400,139.687300,False,138.341000,138.657800,reg,321917
EFX,2017-08-30,139.994200,140.281300,False,139.142800,139.152700,reg,221695
EFX,2017-08-31,141.033600,141.825500,False,140.340600,140.350500,reg,425417
EFX,2017-09-01,140.162500,141.924500,False,140.162500,141.291000,reg,363111
EFX,2017-09-05,139.677400,141.053400,False,139.152700,139.994200,reg,495015
EFX,2017-09-06,139.964500,140.706900,False,139.598200,140.152600,reg,452254
EFX,2017-09-07,141.281100,141.825500,False,139.924900,140.023900,reg,518521
EFX,2017-09-08,121.987600,124.234700,False,116.067900,120.591800,reg,16854687
EFX,2017-09-11,111.979500,120.770000,False,110.049200,120.304700,reg,9825546
EFX,2017-09-12,114.790900,114.909700,False,111.049000,111.831000,reg,6939119
EFX,2017-09-13,97.992000,115.572900,False,97.051500,115.374900,reg,17508859
EFX,2017-09-14,95.685500,99.734200,False,88.686700,97.695000,reg,34582442
EFX,2017-09-15,92.042600,94.725200,False,89.805300,93.448200,reg,16707681
EFX,2017-09-18,93.428400,94.101600,False,91.151600,92.062400,reg,10873790
EFX,2017-09-19,93.913500,94.388700,False,90.953600,91.567400,reg,7847041
EFX,2017-09-20,95.032100,96.427900,False,92.161300,94.042200,reg,8760523
EFX,2017-09-21,97.259400,97.477200,False,94.289700,95.527100,reg,5483575
EFX,2017-09-22,103.981000,104.139400,False,98.793800,99.090800,reg,12473475
EFX,2017-09-25,104.030500,106.089500,False,103.456300,105.159000,reg,8059352
EFX,2017-09-26,104.980800,105.079800,False,100.714200,101.753700,reg,7616767
EFX,2017-09-27,105.366900,107.891100,False,104.931300,105.921200,reg,7601583
EFX,2017-09-28,105.297600,105.446000,False,102.733700,105.357000,reg,3780250
EFX,2017-09-29,104.921400,106.510200,False,104.654100,104.931300,reg,3735854
EFX,2017-10-02,106.723000,107.515000,False,104.931300,105.020400,reg,3666990
EFX,2017-10-03,109.336400,111.326200,False,106.000400,106.911100,reg,6579348
EFX,2017-10-04,110.801500,110.959900,False,107.673400,109.435400,reg,3979342
EFX,2017-10-05,111.831000,112.489300,False,109.663100,110.722300,reg,3275656
EFX,2017-10-06,110.217400,112.286400,False,109.781900,112.029000,reg,2929581
EFX,2017-10-09,111.118300,112.405100,False,109.564100,110.227300,reg,1709349
EFX,2017-10-10,112.395300,112.514100,False,111.058900,111.722100,reg,1921478
EFX,2017-10-11,109.385900,113.306000,False,108.584100,112.137900,reg,2555209
EFX,2017-10-12,107.713000,109.732300,False,105.505400,108.742500,reg,5976152
EFX,2017-10-13,108.396000,109.237400,False,106.970500,108.445500,reg,2157916
EFX,2017-10-16,107.604100,109.148300,False,107.534800,108.574200,reg,3078443
EFX,2017-10-17,107.485300,108.970100,False,107.386300,107.901000,reg,1532098
EFX,2017-10-18,109.504700,109.633400,False,107.425900,107.653600,reg,2230839
EFX,2017-10-19,109.395800,110.692600,False,108.900900,109.435400,reg,2238265
EFX,2017-10-20,108.861300,111.811200,False,108.653400,109.811600,reg,1974001
EFX,2017-10-23,108.257400,108.831600,False,107.222900,108.207900,reg,2265550
EFX,2017-10-24,107.703100,108.980100,False,107.574400,108.198000,reg,1873494
EFX,2017-10-25,106.455800,108.594000,False,106.346900,108.297000,reg,2357352
EFX,2017-10-26,107.851500,108.193100,False,105.960800,106.218200,reg,1340671
EFX,2017-10-27,108.287100,109.544300,False,107.970300,108.207900,reg,1435018
EFX,2017-10-30,107.910900,108.287000,False,107.020000,107.901000,reg,1165668
EFX,2017-10-31,107.435800,109.203500,False,107.435800,107.891100,reg,1041041
EFX,2017-11-01,108.693000,110.168000,False,107.787200,108.019800,reg,1438877
EFX,2017-11-02,107.821800,109.230500,False,106.544900,108.980100,reg,1240870
EFX,2017-11-03,107.604100,109.385900,False,107.544700,109.385900,reg,939730
EFX,2017-11-06,106.940800,108.891000,False,106.822000,107.604100,reg,1740356
EFX,2017-11-07,106.337000,107.505100,False,105.673700,107.049700,reg,1866652
EFX,2017-11-08,106.119200,106.891300,False,105.842000,106.317200,reg,2538979
EFX,2017-11-09,107.851500,108.188100,False,105.152800,105.267900,reg,2048647
EFX,2017-11-10,107.643700,109.069100,False,104.248500,109.069100,reg,2160804
EFX,2017-11-13,107.693200,108.257400,False,105.376700,105.693500,reg,1657649
EFX,2017-11-14,108.207900,109.995700,False,107.356600,107.356600,reg,1126842
EFX,2017-11-15,109.098800,109.732400,False,107.326900,108.366300,reg,867677
EFX,2017-11-16,108.475200,109.376000,False,108.039600,109.376000,reg,1127932
EFX,2017-11-17,110.247100,110.484700,False,107.920800,108.009900,reg,902625
EFX,2017-11-20,109.791800,111.053900,False,109.564100,110.148200,reg,580193
EFX,2017-11-21,109.593800,110.306500,False,109.542300,109.752200,reg,716927
EFX,2017-11-22,109.087200,109.981800,False,108.838900,109.792500,reg,523055
EFX,2017-11-24,109.176600,110.279200,False,108.948100,108.967900,reg,343978
EFX,2017-11-27,109.772600,109.991200,False,108.699700,109.365300,reg,657050
EFX,2017-11-28,111.352100,111.809100,False,109.395100,109.991200,reg,1421834
EFX,2017-11-29,111.908500,113.736300,False,111.282700,111.521000,reg,1728235
EFX,2017-11-30,113.368800,114.213200,False,111.516100,111.908500,reg,1852639
EFX,2017-12-01,112.186600,113.686700,False,110.557400,113.368800,reg,1358450
EFX,2017-12-04,112.653500,113.865500,False,112.166800,112.891900,reg,1307454
EFX,2017-12-05,113.637000,113.706500,False,111.620400,112.752900,reg,1290388
EFX,2017-12-06,114.928500,115.037700,False,112.757800,113.219800,reg,1422172
EFX,2017-12-07,116.060900,116.060900,False,114.143600,114.690000,reg,1094545
EFX,2017-12-08,116.627200,116.716600,False,115.345700,116.229800,reg,1143766
EFX,2017-12-11,117.739800,117.744800,False,116.070900,116.647100,reg,1291329
EFX,2017-12-12,117.441800,117.739800,False,116.955000,117.441800,reg,990698
EFX,2017-12-13,116.627200,117.769600,False,116.130500,117.720000,reg,1317109
EFX,2017-12-14,117.412000,119.254800,False,115.456000,115.862300,reg,1303668
EFX,2017-12-15,118.723300,119.314400,False,117.153700,118.117300,reg,2501057
EFX,2017-12-18,117.551100,119.220000,False,116.955000,119.180300,reg,973114
EFX,2017-12-19,118.653800,118.961700,False,117.223200,117.809400,reg,987493
EFX,2017-12-20,118.107400,119.975000,False,118.047800,119.080900,reg,818157
EFX,2017-12-21,118.782900,118.912100,False,117.372300,118.415300,reg,739010
EFX,2017-12-22,118.941900,119.210100,False,118.013000,118.802800,reg,770390
EFX,2017-12-26,118.196800,119.175300,False,117.491500,118.961700,reg,617222
EFX,2017-12-27,118.991500,119.061100,False,117.970800,118.236500,reg,627759
EFX,2017-12-28,118.941900,119.031300,False,117.680200,119.031300,reg,548868
EFX,2017-12-29,117.143800,119.259800,False,117.044400,119.259800,reg,803766
EFX,2018-01-02,118.753100,118.802800,False,116.597400,117.392100,reg,1674489
EFX,2018-01-03,119.369000,119.557800,False,118.380600,118.902100,reg,1493721
EFX,2018-01-04,120.839300,121.097600,False,119.627300,119.647200,reg,1237327
EFX,2018-01-05,122.021500,122.110900,False,120.680300,121.127400,reg,848161
EFX,2018-01-08,121.187000,122.130700,False,121.087600,122.130700,reg,2727365
EFX,2018-01-09,121.445300,122.100900,False,120.849200,121.196900,reg,720117
EFX,2018-01-10,120.382300,121.316100,False,120.054500,121.246600,reg,1026797
EFX,2018-01-11,120.690300,121.295800,False,120.104200,120.511500,reg,1078882
EFX,2018-01-12,122.041300,122.140700,False,120.533900,121.276400,reg,1118461
EFX,2018-01-16,121.355900,122.091000,False,121.008200,122.011500,reg,1014355
EFX,2018-01-17,122.408900,124.922200,False,120.829300,121.812800,reg,978983
EFX,2018-01-18,122.031400,122.796300,False,121.653900,122.091000,reg,929313
EFX,2018-01-19,123.710300,124.445400,False,122.349300,122.627400,reg,1178000
EFX,2018-01-22,124.177200,124.872600,False,123.183700,123.283100,reg,1326641
EFX,2018-01-23,124.167200,124.882500,False,123.581100,124.167200,reg,923231
EFX,2018-01-24,124.902400,125.513300,False,124.276500,124.723500,reg,1500518
EFX,2018-01-25,125.915600,126.601100,False,124.912300,125.379200,reg,1045653
EFX,2018-01-26,126.650800,126.889200,False,125.746800,126.730200,reg,1087897
EFX,2018-01-29,123.948700,126.541500,False,123.342700,126.392500,reg,1005724
EFX,2018-01-30,122.269800,124.311300,False,122.150600,123.004900,reg,1576127
EFX,2018-01-31,124.107600,124.862600,False,122.100900,123.004900,reg,887716
EFX,2018-02-01,123.332800,124.226800,False,122.677100,124.028200,reg,676464
EFX,2018-02-02,120.690300,122.607600,False,120.273000,122.607600,reg,1661142
EFX,2018-02-05,117.620600,122.428800,False,117.332500,120.104200,reg,1452143
EFX,2018-02-06,117.630500,118.692500,False,115.236400,115.385400,reg,1462466
EFX,2018-02-07,116.825900,119.855800,False,116.607300,117.451700,reg,1126318
EFX,2018-02-08,113.249600,118.316000,False,112.266100,116.925200,reg,1572269
EFX,2018-02-09,111.461400,115.330800,False,107.619600,113.666800,reg,2839358
EFX,2018-02-12,113.646900,114.044300,False,111.441600,112.067400,reg,1116958
EFX,2018-02-13,113.796000,114.640400,False,112.752900,113.249600,reg,700176
EFX,2018-02-14,113.299200,115.017900,False,112.077300,113.080700,reg,1323770
EFX,2018-02-15,116.398700,116.945100,False,112.752900,113.567500,reg,1254017
EFX,2018-02-16,116.686800,117.679200,False,116.046000,116.279500,reg,804646
EFX,2018-02-20,114.789400,116.786100,False,114.401900,116.150400,reg,1102373
EFX,2018-02-21,113.080700,115.986400,False,113.041000,115.176800,reg,1160907
EFX,2018-02-22,114.451600,115.445000,False,113.741300,114.034400,reg,1342644
EFX,2018-02-23,114.640400,115.435100,False,113.468100,114.819200,reg,1298345
EFX,2018-02-26,114.282700,115.733100,False,113.646900,114.739700,reg,1235451
EFX,2018-02-27,113.438300,114.888700,False,112.981400,114.461500,reg,1129994
EFX,2018-02-28,112.256200,114.441700,False,112.256200,114.133700,reg,1120812
EFX,2018-03-01,110.766000,113.249600,False,109.822300,112.544200,reg,1660807
EFX,2018-03-02,116.458300,116.835800,False,111.352100,112.007800,reg,2811239
EFX,2018-03-05,120.551200,121.196900,False,116.210000,116.210000,reg,2088098
EFX,2018-03-06,120.590900,121.544600,False,119.895500,120.690300,reg,1446693
EFX,2018-03-07,120.322700,121.196900,False,119.051100,120.173700,reg,1039020
EFX,2018-03-08,120.163800,121.196900,False,119.617400,120.412100,reg,830262
EFX,2018-03-09,124.499100,124.499100,False,120.692000,121.260100,reg,1575343
EFX,2018-03-12,124.449300,124.977500,False,123.392800,124.608700,reg,926168
EFX,2018-03-13,123.323100,125.057200,False,122.894500,125.017400,reg,958692
EFX,2018-03-14,122.774900,124.130300,False,121.897900,123.801500,reg,869154
EFX,2018-03-15,123.233400,124.548900,False,122.097200,122.645400,reg,704686
EFX,2018-03-16,123.044000,123.811400,False,122.525800,123.303100,reg,968230
EFX,2018-03-19,121.848100,123.263300,False,120.991000,122.864600,reg,1216927
EFX,2018-03-20,122.675300,123.492500,False,121.544100,122.316500,reg,1033915
EFX,2018-03-21,120.662100,123.851300,False,120.512600,123.113800,reg,1140947
EFX,2018-03-22,117.233700,119.994300,False,116.874900,119.994300,reg,1966458
EFX,2018-03-23,115.459700,118.658800,False,115.419800,117.104100,reg,978258
EFX,2018-03-26,117.572500,117.572500,False,115.459700,116.835000,reg,615337
EFX,2018-03-27,116.027700,118.688700,False,115.509500,117.971200,reg,875257
EFX,2018-03-28,118.638900,121.349700,False,116.765200,116.765200,reg,1550947
EFX,2018-03-29,117.413100,118.898000,False,116.506100,118.898000,reg,986138
EFX,2018-04-02,114.562700,117.303400,False,113.237200,117.303400,reg,981288
EFX,2018-04-03,117.981100,118.060900,False,113.904900,114.752100,reg,1157829
EFX,2018-04-04,118.678800,118.903000,False,116.311800,116.605800,reg,957494
EFX,2018-04-05,119.217000,119.476100,False,117.662200,119.097400,reg,887452
EFX,2018-04-06,117.183800,119.236900,False,116.376600,118.599000,reg,865283
EFX,2018-04-09,116.456300,118.300100,False,116.167300,118.300100,reg,1045643
EFX,2018-04-10,117.582500,117.841600,False,115.669000,117.064200,reg,1056447
EFX,2018-04-11,116.914700,118.200400,False,116.585900,116.874900,reg,565840
EFX,2018-04-12,116.516100,117.672200,False,116.346700,117.213700,reg,555413
EFX,2018-04-13,115.609200,117.129000,False,115.340100,116.864900,reg,940989
EFX,2018-04-16,116.266900,116.959600,False,115.918100,116.765200,reg,604834
EFX,2018-04-17,118.499400,118.788400,False,116.695500,117.084200,reg,448236
EFX,2018-04-18,118.001100,119.067500,False,117.931300,118.509400,reg,620704
EFX,2018-04-19,118.379800,118.878100,False,117.393100,118.011000,reg,758410
