symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
GPS,2017-08-16,21.889800,22.209900,False,21.812200,21.899500,reg,4972814
GPS,2017-08-17,21.996500,22.239000,False,21.540700,21.666800,reg,10101860
GPS,2017-08-18,21.967400,23.179700,False,21.375800,22.306900,reg,18942315
GPS,2017-08-21,21.889800,21.996500,False,21.181800,21.996500,reg,7888823
GPS,2017-08-22,22.268100,22.355400,False,21.831600,22.045000,reg,4443682
GPS,2017-08-23,22.491100,22.563900,False,22.239000,22.248700,reg,5527084
GPS,2017-08-24,22.607500,23.286400,False,22.520200,22.859700,reg,6441905
GPS,2017-08-25,23.053700,23.189400,False,22.685100,22.685100,reg,4467080
GPS,2017-08-28,22.685100,23.150700,False,22.597800,23.092500,reg,3807941
GPS,2017-08-29,22.879100,22.927600,False,22.287500,22.481400,reg,2951045
GPS,2017-08-30,22.772400,22.908200,False,22.685100,22.801500,reg,2400804
GPS,2017-08-31,22.908200,23.044000,False,22.753000,22.791800,reg,3502242
GPS,2017-09-01,23.519200,23.606500,False,23.131300,23.189400,reg,3852853
GPS,2017-09-05,23.305800,23.761700,False,23.208800,23.577400,reg,5996007
GPS,2017-09-06,25.041900,25.124300,False,23.567700,23.587100,reg,13906361
GPS,2017-09-07,25.129200,25.216500,False,24.576400,25.109800,reg,6229022
GPS,2017-09-08,24.925500,25.148600,False,24.518200,25.080700,reg,5564567
GPS,2017-09-11,25.158300,25.332800,False,24.809100,24.993400,reg,5908669
GPS,2017-09-12,26.777900,27.233800,False,25.410400,25.730500,reg,14705013
GPS,2017-09-13,27.369600,27.621700,False,26.196000,26.351200,reg,11043624
GPS,2017-09-14,26.962200,27.471400,False,26.758500,27.330800,reg,6284440
GPS,2017-09-15,27.146500,27.321100,False,26.787600,26.874900,reg,5071092
GPS,2017-09-18,27.059200,27.359900,False,26.845800,27.156200,reg,4919335
GPS,2017-09-19,27.098000,27.641100,False,26.874900,27.544100,reg,5590754
GPS,2017-09-20,27.156200,27.311400,False,26.724600,27.107700,reg,4673011
GPS,2017-09-21,27.020400,27.292000,False,26.894300,27.204700,reg,2745206
GPS,2017-09-22,27.505300,27.631400,False,26.938000,27.001000,reg,5120499
GPS,2017-09-25,28.242400,28.368500,False,27.544100,27.553800,reg,6136854
GPS,2017-09-26,28.426700,28.669200,False,28.193900,28.281200,reg,3673375
GPS,2017-09-27,28.805000,28.872900,False,28.232700,28.484900,reg,4625194
GPS,2017-09-28,28.630400,28.824400,False,28.358800,28.678900,reg,3359594
GPS,2017-09-29,28.640100,28.785600,False,28.402500,28.717700,reg,3433251
GPS,2017-10-02,28.611000,28.678900,False,27.786600,28.436400,reg,5749332
GPS,2017-10-03,28.308000,28.796700,False,28.063600,28.699000,reg,3446461
GPS,2017-10-04,28.337300,29.031300,False,28.205300,28.386200,reg,5215516
GPS,2017-10-05,28.914000,29.021500,False,28.151600,28.249300,reg,4591947
GPS,2017-10-06,28.728300,28.972700,False,28.513200,28.601200,reg,4273557
GPS,2017-10-09,28.083100,28.801600,False,28.034300,28.747800,reg,5062362
GPS,2017-10-10,28.053800,28.601200,False,27.799700,28.102700,reg,5066576
GPS,2017-10-11,27.780100,28.171100,False,27.594400,27.799700,reg,4419398
GPS,2017-10-12,26.597400,27.741000,False,26.558300,27.477100,reg,8966304
GPS,2017-10-13,26.636500,27.301200,False,26.558300,26.832000,reg,7549540
GPS,2017-10-16,26.587600,26.744000,False,25.932700,26.167300,reg,7391328
GPS,2017-10-17,25.952200,26.587600,False,25.659000,26.587600,reg,7262511
GPS,2017-10-18,26.059800,26.284600,False,25.580800,25.952200,reg,4986325
GPS,2017-10-19,26.010900,26.167300,False,25.668800,25.854500,reg,6612265
GPS,2017-10-20,26.353000,26.445900,False,26.020700,26.274800,reg,5891742
GPS,2017-10-23,26.587600,27.115400,False,26.206400,26.431200,reg,7572544
GPS,2017-10-24,26.568000,26.783100,False,26.318800,26.626700,reg,3567373
GPS,2017-10-25,26.499600,26.651100,False,25.766500,26.421400,reg,5565232
GPS,2017-10-26,26.665800,27.012800,False,26.260100,26.646200,reg,3681097
GPS,2017-10-27,26.079300,26.225900,False,25.659000,26.147700,reg,5716514
GPS,2017-10-30,25.492800,26.040200,False,25.170200,26.040200,reg,5750683
GPS,2017-10-31,25.404800,25.727400,False,25.395100,25.463500,reg,3936856
GPS,2017-11-01,25.395100,25.722500,False,25.140900,25.522100,reg,3563057
GPS,2017-11-02,25.854500,26.010900,False,25.522100,25.600300,reg,5087655
GPS,2017-11-03,25.786100,26.040200,False,25.492800,25.688300,reg,3322222
GPS,2017-11-06,25.473300,26.089100,False,25.424400,25.883800,reg,3217345
GPS,2017-11-07,25.131100,25.522100,False,24.789000,25.502600,reg,3924971
GPS,2017-11-08,25.092000,25.316900,False,24.837900,24.896500,reg,4115089
GPS,2017-11-09,25.756700,26.040200,False,24.857400,24.916100,reg,4383616
GPS,2017-11-10,26.616900,26.822200,False,25.756700,25.756700,reg,6373137
GPS,2017-11-13,26.118400,26.587600,False,25.649300,26.470300,reg,6432301
GPS,2017-11-14,26.128200,26.216100,False,25.649200,25.883800,reg,4108407
GPS,2017-11-15,26.294300,26.836900,False,25.649200,26.001100,reg,7249803
GPS,2017-11-16,26.861300,27.310900,False,25.747000,26.284600,reg,11286491
GPS,2017-11-17,28.738100,29.461400,False,28.200500,28.679400,reg,18235598
GPS,2017-11-20,29.256100,29.309900,False,28.650100,28.923800,reg,6312315
GPS,2017-11-21,29.041100,29.383200,False,28.690700,29.324600,reg,5364107
GPS,2017-11-22,28.513200,29.226800,False,28.483900,29.011800,reg,4715609
GPS,2017-11-24,28.972700,29.275700,False,28.620800,28.738100,reg,2326400
GPS,2017-11-27,29.324600,30.243400,False,29.226800,29.373400,reg,6738914
GPS,2017-11-28,30.282500,30.365600,False,29.235600,29.422300,reg,4892270
GPS,2017-11-29,31.768300,31.905100,False,30.311800,30.350900,reg,8080308
GPS,2017-11-30,31.582500,32.092000,False,30.888500,30.996100,reg,10498247
GPS,2017-12-01,31.260000,31.582500,False,30.448700,31.357700,reg,6227163
GPS,2017-12-04,33.322500,33.527700,False,31.582500,31.631400,reg,9488157
GPS,2017-12-05,32.569800,33.175800,False,32.071300,33.107400,reg,6667448
GPS,2017-12-06,32.648000,32.990100,False,32.345000,32.550300,reg,3980604
GPS,2017-12-07,32.921700,33.156300,False,32.530700,32.765300,reg,4529715
GPS,2017-12-08,32.736000,33.214900,False,32.677300,32.990100,reg,4826497
GPS,2017-12-11,32.843500,33.117200,False,32.481800,32.794600,reg,4587315
GPS,2017-12-12,33.195400,33.434900,False,32.833700,33.195400,reg,4495398
GPS,2017-12-13,33.488600,33.635300,False,33.068300,33.068300,reg,4762650
GPS,2017-12-14,32.433000,33.635300,False,32.139700,33.185600,reg,7397604
GPS,2017-12-15,32.804400,33.293100,False,32.648000,32.667600,reg,7148091
GPS,2017-12-18,33.654800,33.918700,False,33.048800,33.156300,reg,4340763
GPS,2017-12-19,33.537500,33.879600,False,33.254000,33.850300,reg,3736284
GPS,2017-12-20,33.547300,33.830800,False,33.434900,33.723200,reg,2605555
GPS,2017-12-21,33.674400,33.845400,False,33.390900,33.625500,reg,3579999
GPS,2017-12-22,33.664600,33.772100,False,33.386000,33.772100,reg,3187446
GPS,2017-12-26,34.153300,34.446600,False,33.684100,33.684100,reg,2978052
GPS,2017-12-27,33.713500,34.192400,False,33.547300,34.192400,reg,2142624
GPS,2017-12-28,33.664600,33.791700,False,33.361600,33.713500,reg,1633326
GPS,2017-12-29,33.293100,33.996900,False,33.273600,33.762300,reg,2189426
GPS,2018-01-02,33.332500,33.824600,False,33.022500,33.608100,reg,5282197
GPS,2018-01-03,32.643600,33.627700,False,32.341900,33.539200,reg,3845014
GPS,2018-01-04,32.220400,32.584600,False,31.364200,32.190900,reg,5630009
GPS,2018-01-05,32.033500,32.338500,False,31.831700,32.230300,reg,3949413
GPS,2018-01-08,31.787400,32.555000,False,31.256000,32.309000,reg,4920037
GPS,2018-01-09,31.482300,31.669300,False,31.069000,31.649600,reg,5362553
GPS,2018-01-10,31.521700,31.708700,False,31.029600,31.187100,reg,3044281
GPS,2018-01-11,32.663300,32.742000,False,31.428200,31.649600,reg,5280243
GPS,2018-01-12,33.332500,33.690100,False,32.505800,32.633800,reg,4803321
GPS,2018-01-16,32.190900,33.460400,False,32.151500,33.381700,reg,5396366
GPS,2018-01-17,32.732200,32.929000,False,32.299200,32.299200,reg,2741531
GPS,2018-01-18,33.224300,33.342300,False,32.722300,32.781400,reg,2527262
GPS,2018-01-19,34.257600,34.316600,False,33.224300,33.391600,reg,3711513
GPS,2018-01-22,34.917000,34.936600,False,34.183800,34.247700,reg,4819110
GPS,2018-01-23,34.897300,35.113800,False,34.503600,34.877600,reg,3369183
GPS,2018-01-24,34.326500,35.015400,False,33.932800,34.897300,reg,2482704
GPS,2018-01-25,34.031200,34.631600,False,33.824600,34.543000,reg,2166522
GPS,2018-01-26,34.297000,34.311700,False,33.627700,34.031200,reg,2641256
GPS,2018-01-29,34.523300,34.769300,False,33.923000,33.923000,reg,2543343
GPS,2018-01-30,33.844300,34.469800,False,33.706500,34.346200,reg,4644401
GPS,2018-01-31,32.712500,34.129700,False,32.496000,33.873800,reg,5508681
GPS,2018-02-01,32.358200,32.968400,False,32.053100,32.299200,reg,5666008
GPS,2018-02-02,31.580800,32.289300,False,31.403600,32.161400,reg,4474828
GPS,2018-02-05,30.075000,31.703800,False,30.035700,31.295400,reg,7562069
GPS,2018-02-06,31.649600,31.959600,False,28.815300,29.415700,reg,8789486
GPS,2018-02-07,32.102300,32.525500,False,31.334700,31.689000,reg,3988817
GPS,2018-02-08,30.675400,32.328700,False,30.665500,32.299200,reg,4082656
GPS,2018-02-09,31.777600,32.082700,False,30.055400,31.226500,reg,8642969
GPS,2018-02-12,30.921400,32.102300,False,30.823000,32.023600,reg,7131572
GPS,2018-02-13,31.915400,31.994100,False,30.793400,30.882000,reg,4181019
GPS,2018-02-14,32.584600,32.870000,False,31.482300,31.590600,reg,4070030
GPS,2018-02-15,32.801100,33.056900,False,32.141700,32.879800,reg,2760519
GPS,2018-02-16,32.742000,33.411200,False,32.702700,32.732200,reg,4362417
GPS,2018-02-20,31.108400,31.895700,False,30.262000,30.596600,reg,9581621
GPS,2018-02-21,31.708700,32.397600,False,31.246100,31.285500,reg,4562302
GPS,2018-02-22,31.856300,32.181100,False,31.728400,31.816900,reg,2601166
GPS,2018-02-23,32.171200,32.200800,False,31.511900,31.974400,reg,3628245
GPS,2018-02-26,31.620100,32.604200,False,31.388800,32.515700,reg,5962013
GPS,2018-02-27,30.724600,32.643600,False,30.714700,32.102300,reg,5222243
GPS,2018-02-28,31.078800,31.669300,False,30.941100,31.000100,reg,4587988
GPS,2018-03-01,31.196900,31.443000,False,30.242300,30.891900,reg,9283673
GPS,2018-03-02,33.637600,33.824600,False,32.181100,33.362000,reg,16535820
GPS,2018-03-05,33.549000,33.745800,False,32.911300,33.637600,reg,10937532
GPS,2018-03-06,34.041100,34.159200,False,33.480100,33.549000,reg,6900468
GPS,2018-03-07,32.751900,33.972200,False,32.446800,33.913100,reg,7064903
GPS,2018-03-08,32.082700,33.047100,False,32.063000,32.810900,reg,5563172
GPS,2018-03-09,32.545200,32.653500,False,31.659500,32.368100,reg,4575384
GPS,2018-03-12,31.728400,32.594400,False,31.541400,32.545200,reg,5507826
GPS,2018-03-13,32.151500,32.476300,False,31.826800,31.954700,reg,3951572
GPS,2018-03-14,31.905500,32.456600,False,31.782500,32.289300,reg,3056357
GPS,2018-03-15,31.324900,32.018700,False,31.256000,31.954700,reg,4896730
GPS,2018-03-16,31.236300,31.856300,False,30.862300,31.305200,reg,5233215
GPS,2018-03-19,31.718500,32.013800,False,31.256000,31.344600,reg,5768525
GPS,2018-03-20,31.807100,32.176200,False,31.492200,31.630000,reg,3799137
GPS,2018-03-21,31.600400,32.269600,False,31.570900,31.777600,reg,4320476
GPS,2018-03-22,30.685200,31.443000,False,30.645800,31.206800,reg,4829019
GPS,2018-03-23,30.547400,31.580800,False,30.527700,30.882000,reg,4136299
GPS,2018-03-26,30.468700,30.798400,False,29.917600,30.714700,reg,6152223
GPS,2018-03-27,30.035700,30.517900,False,29.863400,30.390000,reg,3954683
GPS,2018-03-28,30.409600,31.187100,False,29.838800,30.153800,reg,3845889
GPS,2018-03-29,30.704900,31.147700,False,30.439200,30.439200,reg,3001345
GPS,2018-04-02,30.262000,30.823000,False,29.710900,30.675400,reg,4555243
GPS,2018-04-03,30.695000,30.882000,False,30.321100,30.330900,reg,3568876
GPS,2018-04-04,31.374100,31.433100,False,30.311200,30.311200,reg,4050141
GPS,2018-04-05,31.502000,31.718500,False,31.167400,31.590600,reg,4197136
GPS,2018-04-06,30.350600,31.433100,False,30.109500,31.157600,reg,4979390
GPS,2018-04-09,29.592800,30.626100,False,29.494400,30.576900,reg,6155716
GPS,2018-04-10,30.537800,30.756100,False,29.992100,30.091400,reg,5580000
GPS,2018-04-11,30.309600,30.488200,False,29.902900,30.279900,reg,4572924
GPS,2018-04-12,30.398900,30.681700,False,30.150900,30.468400,reg,3230550
GPS,2018-04-13,29.813600,30.488200,False,29.764000,30.428700,reg,3333917
GPS,2018-04-16,29.922700,30.200500,False,29.605200,30.012000,reg,2397196
GPS,2018-04-17,30.299700,30.527900,False,30.002100,30.220300,reg,3298779
GPS,2018-04-18,29.307600,30.577500,False,29.287700,30.408800,reg,4422101
GPS,2018-04-19,29.317500,29.386900,False,28.771800,29.198400,reg,5316916
GPS,2018-04-20,28.216200,29.119100,False,27.898700,29.069500,reg,7009837
GPS,2018-04-23,28.553600,28.881000,False,28.161700,28.226100,reg,4206456
GPS,2018-04-24,28.960300,29.644900,False,28.583300,28.692400,reg,4574469
GPS,2018-04-25,29.674700,29.833400,False,28.712300,28.871000,reg,5230406
GPS,2018-04-26,29.883000,30.175700,False,29.481200,29.674700,reg,4056071
GPS,2018-04-27,30.170700,30.250100,False,29.684600,30.091400,reg,2951131
GPS,2018-04-30,29.009900,30.349300,False,28.771800,30.170700,reg,4655197
GPS,2018-05-01,28.623000,29.138900,False,28.097200,28.910700,reg,3706596
GPS,2018-05-02,28.890900,29.069500,False,28.315400,28.474200,reg,4433489
GPS,2018-05-03,28.761900,29.297700,False,28.598200,28.871000,reg,4736059
GPS,2018-05-04,28.573400,28.776800,False,28.156700,28.652800,reg,3956070
GPS,2018-05-07,28.126900,28.632900,False,27.839200,28.513900,reg,4383649
GPS,2018-05-08,28.494000,28.573400,False,27.888800,28.007900,reg,3303731
GPS,2018-05-09,28.980200,29.019900,False,28.335300,28.404700,reg,3882520
GPS,2018-05-10,28.573400,28.881000,False,28.246000,28.881000,reg,4973996
GPS,2018-05-11,28.960300,29.258000,False,28.444400,28.632900,reg,4062205
GPS,2018-05-14,30.141000,30.369200,False,28.960300,29.029800,reg,5880818
GPS,2018-05-15,30.914800,30.964400,False,29.912800,30.766000,reg,7987478
GPS,2018-05-16,31.321600,31.728400,False,30.602300,31.182700,reg,6633025
GPS,2018-05-17,31.143000,31.410900,False,30.904900,31.162900,reg,3350745
GPS,2018-05-18,31.321600,31.534900,False,30.984300,31.162900,reg,3664340
GPS,2018-05-21,31.450600,31.787900,False,31.351400,31.559700,reg,3221567
GPS,2018-05-22,31.500200,31.867300,False,31.351400,31.589500,reg,4414999
GPS,2018-05-23,31.728400,31.926800,False,31.143000,31.311700,reg,4556354
GPS,2018-05-24,32.690700,33.077700,False,31.658900,31.678800,reg,8791845
GPS,2018-05-25,27.928500,30.111200,False,27.918600,29.843300,reg,25859353
GPS,2018-05-29,28.067400,28.513900,False,27.779700,27.799500,reg,11607034
GPS,2018-05-30,28.652800,28.732100,False,27.363000,28.037600,reg,9877206
GPS,2018-05-31,27.759800,28.871000,False,27.725100,28.593200,reg,5645904
