symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
KR,2017-08-16,22.634800,22.884700,False,22.517100,22.850400,reg,8193521
KR,2017-08-17,22.409300,23.046500,False,22.399500,22.428900,reg,15232274
KR,2017-08-18,22.409300,22.625000,False,22.286800,22.311300,reg,7969409
KR,2017-08-21,22.164200,22.517100,False,22.105400,22.399500,reg,7690671
KR,2017-08-22,22.487700,22.615200,False,22.213200,22.213200,reg,6503001
KR,2017-08-23,22.507300,22.634800,False,22.399500,22.448500,reg,6019666
KR,2017-08-24,20.684000,22.791600,False,20.644800,22.546500,reg,39085958
KR,2017-08-25,21.311400,21.625100,False,20.880100,20.899700,reg,31786570
KR,2017-08-28,21.291800,21.458400,False,20.791800,20.880100,reg,16487894
KR,2017-08-29,21.380000,21.497600,False,21.176100,21.282000,reg,8744714
KR,2017-08-30,21.762300,21.762300,False,21.144700,21.419200,reg,10805424
KR,2017-08-31,21.438800,21.752500,False,21.380000,21.713300,reg,15823714
KR,2017-09-01,21.978000,22.095600,False,21.507400,21.536900,reg,13862536
KR,2017-09-05,21.987800,22.350500,False,21.811300,21.850500,reg,11780208
KR,2017-09-06,22.105400,22.164200,False,21.752500,21.978000,reg,14274480
KR,2017-09-07,22.321100,22.477900,False,21.772100,22.085800,reg,21085220
KR,2017-09-08,20.644800,21.360400,False,20.007600,20.929100,reg,62444244
KR,2017-09-11,20.919300,20.929100,False,20.321300,20.556600,reg,21638715
KR,2017-09-12,21.154500,21.360400,False,20.958500,21.183900,reg,18888761
KR,2017-09-13,21.301600,21.644700,False,21.134900,21.174100,reg,12381958
KR,2017-09-14,20.840900,21.438800,False,20.742800,21.321200,reg,11905706
KR,2017-09-15,21.144700,21.183900,False,20.821200,20.860500,reg,15154036
KR,2017-09-18,21.017300,21.247700,False,20.914400,21.095700,reg,8370498
KR,2017-09-19,20.713400,21.164300,False,20.664400,21.066300,reg,9687599
KR,2017-09-20,20.389900,20.725700,False,20.340900,20.664400,reg,13242476
KR,2017-09-21,19.821400,20.438900,False,19.821400,20.419300,reg,20307646
KR,2017-09-22,19.752700,20.037000,False,19.644900,19.860600,reg,14232972
KR,2017-09-25,19.546900,19.841000,False,19.493000,19.654700,reg,16857864
KR,2017-09-26,19.791900,19.958600,False,19.556700,19.556700,reg,22762354
KR,2017-09-27,19.831200,20.164500,False,19.733100,19.958600,reg,12554610
KR,2017-09-28,19.860600,20.115400,False,19.752700,19.791900,reg,12922656
KR,2017-09-29,19.664500,20.007600,False,19.644900,19.929200,reg,12285719
KR,2017-10-02,19.566500,19.831200,False,19.301800,19.644900,reg,18788343
KR,2017-10-03,20.154700,20.321300,False,19.605700,19.625300,reg,25519351
KR,2017-10-04,20.125200,20.360500,False,20.027200,20.154700,reg,16921886
KR,2017-10-05,20.291900,20.541900,False,20.076200,20.076200,reg,18826650
KR,2017-10-06,20.223300,20.340900,False,19.988000,20.105600,reg,21257570
KR,2017-10-09,19.890000,20.409500,False,19.811600,20.340900,reg,16952291
KR,2017-10-10,20.125200,20.272300,False,19.595900,19.958600,reg,20709643
KR,2017-10-11,20.370300,21.595700,False,20.326200,20.796700,reg,43527917
KR,2017-10-12,20.586000,20.938900,False,20.125200,20.360500,reg,20201961
KR,2017-10-13,20.880100,21.134900,False,20.419300,20.742800,reg,16914749
KR,2017-10-16,20.037000,20.880100,False,19.988000,20.870300,reg,21368438
KR,2017-10-17,20.076200,20.262500,False,19.850800,20.007600,reg,16759023
KR,2017-10-18,20.262500,20.350700,False,20.046800,20.125200,reg,11931270
KR,2017-10-19,20.478100,20.546800,False,20.184100,20.223300,reg,10713896
KR,2017-10-20,20.605600,20.635000,False,20.306600,20.546800,reg,14104769
KR,2017-10-23,20.929100,21.183900,False,20.546800,20.625200,reg,17999274
KR,2017-10-24,21.046700,21.144700,False,20.899700,20.919300,reg,16429459
KR,2017-10-25,20.713400,21.125100,False,20.625200,21.036900,reg,13845148
KR,2017-10-26,20.409500,20.929100,False,20.228200,20.831000,reg,8778048
KR,2017-10-27,20.164500,20.306600,False,19.958600,20.193900,reg,13210348
KR,2017-10-30,20.233100,20.360500,False,20.007600,20.007600,reg,7202336
KR,2017-10-31,20.291900,20.399700,False,20.154700,20.291900,reg,9003941
KR,2017-11-01,20.487900,20.870300,False,20.350700,20.350700,reg,9975186
KR,2017-11-02,20.762400,20.938900,False,20.326200,20.889900,reg,13979493
KR,2017-11-03,21.076100,21.350600,False,20.801600,20.880100,reg,11235313
KR,2017-11-06,20.909500,21.331000,False,20.889900,21.272200,reg,10996319
KR,2017-11-07,20.889900,21.017300,False,20.733000,20.978100,reg,8983801
KR,2017-11-08,21.419200,21.458400,False,20.850700,20.889900,reg,8955086
KR,2017-11-09,21.517200,21.659400,False,21.340800,21.380000,reg,10807720
KR,2017-11-10,21.644700,21.948600,False,21.517200,21.546700,reg,8591395
KR,2017-11-13,21.703500,21.811300,False,21.546700,21.566300,reg,8041461
KR,2017-11-14,21.708400,21.757700,False,21.225400,21.688700,reg,10357969
KR,2017-11-15,21.304200,21.885900,False,20.949300,21.185900,reg,11638535
KR,2017-11-16,21.964800,22.122500,False,21.442300,21.501400,reg,15694898
KR,2017-11-17,23.078800,23.137900,False,21.954900,22.014000,reg,19798675
KR,2017-11-20,22.871700,23.187200,False,22.595700,22.753400,reg,16452965
KR,2017-11-21,22.457700,22.980200,False,22.378800,22.911200,reg,9436295
KR,2017-11-22,22.812600,22.940700,False,22.498100,22.546400,reg,9755628
KR,2017-11-24,22.654800,23.098500,False,22.620300,22.921000,reg,3379880
KR,2017-11-27,22.852000,22.999900,False,22.625300,22.674600,reg,9671603
KR,2017-11-28,23.226600,23.275900,False,22.714000,22.871700,reg,9464631
KR,2017-11-29,24.035000,24.054800,False,23.285800,23.315400,reg,20966468
KR,2017-11-30,25.494100,27.308100,False,25.168800,26.933400,reg,64064413
KR,2017-12-01,25.306800,25.592700,False,24.843400,25.257500,reg,20546412
KR,2017-12-04,26.499700,26.603200,False,25.622300,25.632100,reg,18123049
KR,2017-12-05,25.849000,26.618000,False,25.750400,26.529200,reg,11321569
KR,2017-12-06,26.036300,26.184200,False,25.858900,26.100400,reg,8174251
KR,2017-12-07,26.154600,26.302500,False,25.996900,26.085600,reg,6903514
KR,2017-12-08,26.302500,26.424100,False,26.105300,26.302500,reg,6171507
KR,2017-12-11,26.203900,26.578500,False,25.977200,26.420800,reg,6914764
KR,2017-12-12,25.957400,26.583500,False,25.911500,25.957400,reg,7762686
KR,2017-12-13,26.312400,26.509500,False,25.671500,25.987000,reg,10837918
KR,2017-12-14,25.533500,26.420800,False,25.523700,26.322200,reg,12217312
