symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
MDT,2017-08-16,82.662800,82.975400,False,82.604100,82.887500,reg,4376215
MDT,2017-08-17,81.754000,82.907000,False,81.719800,82.545500,reg,3789022
MDT,2017-08-18,81.500000,81.890800,False,81.216600,81.412100,reg,4440985
MDT,2017-08-21,81.607500,82.091100,False,81.040800,81.421800,reg,4691489
MDT,2017-08-22,79.887800,80.268900,False,79.145200,79.594700,reg,9382122
MDT,2017-08-23,77.923800,79.702100,False,77.630600,79.457900,reg,8667498
MDT,2017-08-24,77.425500,78.265800,False,77.299400,77.865200,reg,7364983
MDT,2017-08-25,77.249600,78.021500,False,77.220300,77.601400,reg,4231172
MDT,2017-08-28,77.767500,78.041100,False,77.581800,77.747900,reg,4900822
MDT,2017-08-29,77.894500,78.065500,False,77.210500,77.542700,reg,4130854
MDT,2017-08-30,78.031300,78.086700,False,77.523200,77.875000,reg,3725782
MDT,2017-08-31,78.773900,78.871600,False,77.967800,78.168100,reg,5661945
MDT,2017-09-01,78.216900,78.900900,False,78.045900,78.852100,reg,3133488
MDT,2017-09-05,77.992200,78.558900,False,77.747900,78.050800,reg,3255784
MDT,2017-09-06,78.041100,78.241900,False,77.542700,78.089900,reg,3784045
MDT,2017-09-07,78.119200,78.441700,False,77.884700,78.089900,reg,3386960
MDT,2017-09-08,80.151600,80.591300,False,78.070400,78.070400,reg,7881013
MDT,2017-09-11,79.692400,80.610800,False,79.330800,80.366600,reg,5854120
MDT,2017-09-12,80.415400,80.474000,False,79.233100,79.633700,reg,4073464
MDT,2017-09-13,80.053900,80.562000,False,79.829200,80.249300,reg,4795089
MDT,2017-09-14,79.926900,80.053900,False,79.213600,80.005000,reg,4461855
MDT,2017-09-15,80.239500,80.259100,False,79.516500,79.760800,reg,9563374
MDT,2017-09-18,80.513100,80.645000,False,79.878000,80.483800,reg,4162647
MDT,2017-09-19,79.330800,80.845300,False,79.272200,80.757400,reg,5584776
MDT,2017-09-20,78.324400,79.643500,False,77.523200,79.330800,reg,6384361
MDT,2017-09-21,77.708800,78.704300,False,77.679500,78.304900,reg,4821970
MDT,2017-09-22,77.875000,78.060600,False,77.293600,77.660000,reg,4593164
MDT,2017-09-25,76.477700,77.767500,False,76.116200,77.669800,reg,7151269
MDT,2017-09-26,76.575400,77.073700,False,76.282300,76.458200,reg,4791028
MDT,2017-09-27,76.057500,77.064000,False,75.676500,76.868500,reg,4801698
MDT,2017-09-28,76.381900,76.578500,False,75.846200,76.372100,reg,5536651
MDT,2017-09-29,76.440900,76.676800,False,76.224600,76.332800,reg,6186201
MDT,2017-10-02,76.716100,76.893000,False,76.175500,76.725900,reg,4312895
MDT,2017-10-03,76.775100,76.863500,False,76.249200,76.843900,reg,5866622
MDT,2017-10-04,77.286200,77.551600,False,76.863500,76.912700,reg,5735223
MDT,2017-10-05,78.151100,78.495200,False,77.649900,78.013500,reg,6323198
MDT,2017-10-06,78.446000,78.446000,False,77.905400,78.210100,reg,3248459
MDT,2017-10-09,75.615200,76.922500,False,75.207300,76.470400,reg,12760120
MDT,2017-10-10,75.969100,76.057500,False,75.595600,75.634900,reg,7244828
MDT,2017-10-11,76.902800,77.138700,False,75.762700,76.214800,reg,6442301
MDT,2017-10-12,76.588300,76.627600,False,75.782300,76.391700,reg,8427037
MDT,2017-10-13,76.735800,76.889700,False,76.136200,76.558800,reg,5442264
MDT,2017-10-16,76.401600,77.099400,False,76.381900,76.696400,reg,5392190
MDT,2017-10-17,76.667000,76.902800,False,76.067400,76.431100,reg,3809570
MDT,2017-10-18,77.246900,77.541700,False,76.578500,76.667000,reg,4613277
MDT,2017-10-19,77.138700,77.640000,False,77.099400,77.227200,reg,2765286
MDT,2017-10-20,77.001100,77.531900,False,76.829100,77.423800,reg,4173780
MDT,2017-10-23,77.669500,77.890800,False,77.001100,77.374600,reg,4811635
MDT,2017-10-24,77.315700,77.846400,False,77.099400,77.758000,reg,4462293
MDT,2017-10-25,77.846400,77.954600,False,76.902800,77.237000,reg,4906487
MDT,2017-10-26,79.065300,79.340500,False,77.512300,77.551600,reg,7331119
MDT,2017-10-27,79.910600,80.293900,False,79.320800,79.507600,reg,7744020
MDT,2017-10-30,79.153700,79.674700,False,78.141300,79.655000,reg,5994181
MDT,2017-10-31,79.143900,79.428900,False,78.770400,79.094700,reg,4611993
MDT,2017-11-01,78.937500,79.772900,False,78.642600,79.045600,reg,5136496
MDT,2017-11-02,76.539200,79.202900,False,75.851100,78.927600,reg,10276713
MDT,2017-11-03,77.089600,77.364800,False,75.743000,76.293400,reg,6936555
MDT,2017-11-06,76.362200,77.148600,False,76.298400,77.119100,reg,4027030
MDT,2017-11-07,76.676800,76.853700,False,76.322900,76.568700,reg,3655136
MDT,2017-11-08,76.480200,76.824200,False,75.900300,76.824200,reg,4468005
MDT,2017-11-09,79.428900,79.733600,False,78.102000,78.770400,reg,8803491
MDT,2017-11-10,77.974200,79.094700,False,76.971700,79.025900,reg,6416385
MDT,2017-11-13,77.846400,78.062700,False,76.922500,77.925100,reg,4013706
MDT,2017-11-14,77.807100,78.013500,False,77.286200,77.590900,reg,2701075
MDT,2017-11-15,77.335300,77.782600,False,77.276400,77.649900,reg,4145369
MDT,2017-11-16,77.905400,78.318200,False,77.620400,77.669500,reg,4763455
MDT,2017-11-17,78.131500,78.721200,False,77.394300,77.482800,reg,7097958
MDT,2017-11-20,77.551600,78.362500,False,77.541700,78.023400,reg,7446659
MDT,2017-11-21,81.247300,82.672500,False,81.090000,81.581500,reg,11003993
MDT,2017-11-22,80.932800,81.552000,False,80.647700,81.345600,reg,5303292
MDT,2017-11-24,81.827200,82.073000,False,81.198200,81.276800,reg,3165628
MDT,2017-11-27,80.018700,82.107400,False,79.674700,81.837100,reg,6346517
MDT,2017-11-28,81.050700,81.168700,False,79.969500,80.274200,reg,5773680
MDT,2017-11-29,80.706700,81.561800,False,80.569100,80.903300,reg,3945458
MDT,2017-11-30,80.726400,81.365300,False,80.637900,81.247300,reg,5663856
MDT,2017-12-01,79.881100,81.158800,False,79.232300,81.050700,reg,5993062
MDT,2017-12-04,78.505000,79.979400,False,78.377200,79.930200,reg,8687762
MDT,2017-12-05,79.537000,80.077600,False,78.210100,78.210100,reg,5392208
MDT,2017-12-06,80.107100,80.402000,False,79.537000,80.179900,reg,5192142
MDT,2017-12-07,79.193000,80.687100,False,78.917800,80.215300,reg,5497507
MDT,2017-12-08,79.684500,79.733600,False,79.163500,79.684500,reg,4106432
MDT,2017-12-11,79.881100,80.146500,False,79.468200,79.812300,reg,3501371
MDT,2017-12-12,80.598600,81.276800,False,80.402000,80.598600,reg,4966525
MDT,2017-12-13,80.520000,80.755900,False,80.136600,80.402000,reg,4473330
MDT,2017-12-14,80.431500,81.065500,False,80.323400,80.549400,reg,5000717
MDT,2017-12-15,82.073000,82.267100,False,81.031100,81.031100,reg,9813131
MDT,2017-12-18,82.004200,82.348200,False,81.660100,82.181100,reg,5204169
MDT,2017-12-19,80.637900,82.672500,False,80.598600,82.289200,reg,5096508
MDT,2017-12-20,79.989200,81.552000,False,79.900700,80.981900,reg,3769402
MDT,2017-12-21,80.087500,81.050700,False,79.974400,80.146500,reg,4051182
MDT,2017-12-22,80.146500,80.559300,False,79.881100,80.166100,reg,3187505
MDT,2017-12-26,80.077600,80.480600,False,79.999000,80.175900,reg,1923055
MDT,2017-12-27,80.362700,80.529800,False,80.048200,80.234900,reg,2463076
MDT,2017-12-28,80.402200,80.639500,False,80.145200,80.392300,reg,2859752
MDT,2017-12-29,79.819000,80.856900,False,79.799300,80.639500,reg,3259884
MDT,2018-01-02,81.262200,81.736700,False,81.005200,81.212800,reg,4783475
MDT,2018-01-03,82.952500,83.842100,False,81.222700,81.252300,reg,6879067
MDT,2018-01-04,83.150200,83.921200,False,82.181500,83.476400,reg,5943173
MDT,2018-01-05,84.553800,84.751500,False,83.041400,83.555500,reg,7428487
MDT,2018-01-08,84.524200,84.702100,False,84.222700,84.514300,reg,6117565
MDT,2018-01-09,84.889900,85.749900,False,84.672400,84.870100,reg,6100659
MDT,2018-01-10,84.504400,84.998600,False,83.545600,84.563700,reg,3575338
MDT,2018-01-11,84.741600,84.949200,False,84.099100,84.949200,reg,3930314
MDT,2018-01-12,84.464800,84.998600,False,84.316600,84.860200,reg,5085912
MDT,2018-01-16,84.336300,85.137000,False,83.891500,84.593300,reg,5428238
MDT,2018-01-17,85.117200,85.448400,False,84.455000,84.889900,reg,5448986
MDT,2018-01-18,86.254000,86.916300,False,84.959100,85.166700,reg,7328569
MDT,2018-01-19,85.680700,86.886600,False,85.038200,86.570300,reg,7314796
MDT,2018-01-22,85.057900,85.567000,False,84.415400,85.423700,reg,5926903
MDT,2018-01-23,84.247400,85.226000,False,84.000300,85.226000,reg,4962269
MDT,2018-01-24,84.771300,85.135000,False,84.178200,84.840500,reg,5680191
MDT,2018-01-25,85.819100,85.977200,False,84.672400,84.998600,reg,3947842
MDT,2018-01-26,86.115600,86.174900,False,85.364400,85.858600,reg,3815102
MDT,2018-01-29,85.720200,86.293500,False,85.324800,85.848700,reg,3804924
MDT,2018-01-30,84.969000,85.720200,False,84.761400,84.939300,reg,3881748
MDT,2018-01-31,84.899800,85.502700,False,84.632900,85.334700,reg,5258347
MDT,2018-02-01,84.000300,84.692200,False,83.654300,84.395700,reg,4201568
MDT,2018-02-02,83.476400,84.267200,False,83.387400,83.693800,reg,5564450
MDT,2018-02-05,80.481300,83.604900,False,79.987100,83.100800,reg,7237232
MDT,2018-02-06,80.728400,81.113900,False,78.178200,79.137000,reg,10189952
MDT,2018-02-07,80.412100,82.003600,False,80.352800,80.461500,reg,5929949
MDT,2018-02-08,77.476400,80.570300,False,77.446700,80.392300,reg,7346112
MDT,2018-02-09,78.563700,79.156800,False,76.665800,77.970600,reg,6061791
MDT,2018-02-12,79.314900,79.819000,False,78.336300,78.791000,reg,4314124
MDT,2018-02-13,79.295100,79.663200,False,78.437600,78.929400,reg,4574599
MDT,2018-02-14,80.916200,81.109000,False,78.711900,78.800900,reg,5000029
MDT,2018-02-15,81.983800,82.023300,False,81.005200,81.459900,reg,4002043
MDT,2018-02-16,82.349500,82.794300,False,81.173200,81.845400,reg,6863522
MDT,2018-02-20,80.669100,82.408800,False,79.937600,82.181500,reg,11125874
MDT,2018-02-21,79.789400,80.760600,False,79.295100,80.491200,reg,6805681
MDT,2018-02-22,79.483000,80.866800,False,79.285300,79.977200,reg,4528158
MDT,2018-02-23,79.463200,80.263800,False,78.968900,80.016700,reg,5174060
MDT,2018-02-26,81.469800,81.529100,False,79.394000,80.461500,reg,6201229
MDT,2018-02-27,80.303400,81.736700,False,80.130400,81.667500,reg,5179363
MDT,2018-02-28,78.968900,80.669100,False,78.919500,80.580200,reg,6712074
MDT,2018-03-01,77.397300,78.909600,False,76.873400,78.870100,reg,7946118
MDT,2018-03-02,77.426900,77.595000,False,76.794300,77.001900,reg,5695901
MDT,2018-03-05,78.820700,79.117200,False,76.853600,76.952500,reg,5371710
MDT,2018-03-06,79.483000,79.675700,False,78.919500,79.087600,reg,5338331
MDT,2018-03-07,80.194700,80.382500,False,78.711900,78.870100,reg,6040246
MDT,2018-03-08,81.262200,81.301700,False,80.342900,80.392300,reg,6434645
MDT,2018-03-09,82.191400,82.423700,False,81.410500,81.489500,reg,4659231
MDT,2018-03-12,82.339600,82.754800,False,82.043100,82.300100,reg,4218696
MDT,2018-03-13,82.507700,83.209500,False,82.290200,82.784400,reg,4678810
MDT,2018-03-14,81.351200,82.992000,False,80.965700,82.814100,reg,5182279
MDT,2018-03-15,81.084300,81.558700,False,80.718500,81.440100,reg,3453662
MDT,2018-03-16,80.352800,81.618000,False,80.352800,81.410500,reg,9386564
MDT,2018-03-19,79.206200,80.679000,False,78.474700,80.342900,reg,4601342
MDT,2018-03-20,78.978800,80.066200,False,78.484600,79.601600,reg,4267021
MDT,2018-03-21,79.117200,79.838800,False,78.840400,78.978800,reg,4329350
MDT,2018-03-22,77.685600,79.345900,False,77.541400,78.699700,reg,4455886
MDT,2018-03-23,76.104800,78.142900,False,75.965700,77.755200,reg,6070335
MDT,2018-03-26,78.003700,78.068400,False,76.124700,76.989700,reg,6635495
MDT,2018-03-27,77.705500,79.037700,False,77.193500,78.282100,reg,5458654
MDT,2018-03-28,78.003700,78.789100,False,77.804900,77.934100,reg,5299688
MDT,2018-03-29,79.753500,80.449400,False,78.321900,78.799100,reg,6162341
MDT,2018-04-02,77.029400,79.435400,False,76.174400,79.326000,reg,6409795
MDT,2018-04-03,77.894400,78.093200,False,76.830600,77.307800,reg,4443991
MDT,2018-04-04,78.262200,78.490900,False,76.476700,76.790800,reg,4134645
MDT,2018-04-05,79.236500,79.619300,False,78.232400,78.560500,reg,4183545
MDT,2018-04-06,77.188500,79.355800,False,76.681500,78.739400,reg,5185961
MDT,2018-04-09,78.003700,79.176900,False,77.417200,77.814800,reg,4708414
MDT,2018-04-10,78.828900,79.226600,False,78.321900,78.669800,reg,4743330
MDT,2018-04-11,78.133000,78.819000,False,77.795000,78.172700,reg,3751539
MDT,2018-04-12,79.375700,79.644100,False,78.689700,78.699700,reg,3571497
MDT,2018-04-13,79.107300,79.773400,False,78.669800,79.703800,reg,3997209
MDT,2018-04-16,80.131300,80.777500,False,79.564600,79.723700,reg,3628281
MDT,2018-04-17,80.161100,80.767600,False,79.495000,80.558800,reg,4611217
MDT,2018-04-18,79.723700,80.568700,False,79.703800,80.419600,reg,6131378
MDT,2018-04-19,79.534800,80.131300,False,79.176900,79.733600,reg,3791882
