symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
NI,2017-08-16,26.145800,26.174900,False,25.816100,25.864600,reg,1737060
NI,2017-08-17,25.884000,26.199200,False,25.845200,26.165200,reg,2146851
NI,2017-08-18,25.981000,26.063400,False,25.660900,25.796700,reg,2622821
NI,2017-08-21,25.971300,26.029400,False,25.903400,25.981000,reg,1430404
NI,2017-08-22,26.126400,26.174900,False,25.806400,25.971300,reg,1663448
NI,2017-08-23,26.213700,26.242800,False,26.010100,26.107000,reg,1033588
NI,2017-08-24,26.126400,26.281600,False,26.058500,26.213700,reg,9490610
NI,2017-08-25,26.291300,26.393100,False,26.194300,26.252500,reg,1393070
NI,2017-08-28,26.271900,26.427100,False,26.184600,26.320400,reg,1073021
NI,2017-08-29,26.165200,26.378600,False,26.155500,26.301000,reg,940348
NI,2017-08-30,26.097300,26.184600,False,26.058500,26.107000,reg,810254
NI,2017-08-31,26.058500,26.165200,False,26.019800,26.077900,reg,1699814
NI,2017-09-01,26.048800,26.174900,False,25.951900,26.136100,reg,762900
NI,2017-09-05,26.058500,26.097300,False,25.942200,26.068200,reg,1204460
NI,2017-09-06,25.981000,26.165200,False,25.884000,26.107000,reg,904221
NI,2017-09-07,26.174900,26.204000,False,25.951900,26.019800,reg,1015267
NI,2017-09-08,26.291300,26.339800,False,26.029400,26.136100,reg,1657098
NI,2017-09-11,26.407700,26.427100,False,26.204000,26.242800,reg,1454853
NI,2017-09-12,25.981000,26.465900,False,25.816100,26.436800,reg,1198810
NI,2017-09-13,25.874300,26.019800,False,25.835500,25.913100,reg,1189272
NI,2017-09-14,26.107000,26.107000,False,25.777300,25.854900,reg,1528802
NI,2017-09-15,26.174900,26.233100,False,25.942200,26.068200,reg,3532635
NI,2017-09-18,25.738500,26.174900,False,25.593000,26.174900,reg,2303262
NI,2017-09-19,25.602700,25.825800,False,25.525200,25.777300,reg,1410826
NI,2017-09-20,25.399100,25.767600,False,25.302100,25.690000,reg,1964159
NI,2017-09-21,25.331200,25.530000,False,25.282700,25.389400,reg,895630
NI,2017-09-22,24.914200,25.399100,False,24.904500,25.370000,reg,2014187
NI,2017-09-25,25.127500,25.185700,False,24.788100,24.933600,reg,3279061
NI,2017-09-26,25.282700,25.379700,False,25.030600,25.127500,reg,1624848
NI,2017-09-27,24.652300,25.176000,False,24.458400,25.176000,reg,2290549
NI,2017-09-28,24.729900,24.729900,False,24.477800,24.584400,reg,1590960
NI,2017-09-29,24.817200,24.904500,False,24.632900,24.700800,reg,1646949
NI,2017-10-02,24.739600,24.909300,False,24.613500,24.836600,reg,1618759
NI,2017-10-03,24.603800,24.739600,False,24.487500,24.739600,reg,2452494
NI,2017-10-04,24.933600,24.953000,False,24.555400,24.632900,reg,2984655
NI,2017-10-05,24.943300,25.020900,False,24.739600,24.875400,reg,1893473
NI,2017-10-06,24.943300,24.953000,False,24.686300,24.875400,reg,3089634
NI,2017-10-09,25.127500,25.214800,False,24.972400,25.011200,reg,1610604
NI,2017-10-10,25.554200,25.573600,False,25.127500,25.185700,reg,2027844
NI,2017-10-11,25.622100,25.884000,False,25.530000,25.554200,reg,2757564
NI,2017-10-12,25.767600,25.884000,False,25.690000,25.699700,reg,2388269
NI,2017-10-13,25.796700,25.937300,False,25.719100,25.796700,reg,1541922
NI,2017-10-16,25.573600,25.864600,False,25.534900,25.845200,reg,2088375
NI,2017-10-17,25.651200,25.680300,False,25.433000,25.534900,reg,1720422
NI,2017-10-18,25.631800,25.690000,False,25.554200,25.602700,reg,1241166
NI,2017-10-19,25.951900,25.961600,False,25.549400,25.709400,reg,1522486
NI,2017-10-20,25.854900,25.961600,False,25.670600,25.932500,reg,1847664
NI,2017-10-23,26.010100,26.039100,False,25.777300,25.922800,reg,1225905
NI,2017-10-24,25.864600,26.048800,False,25.690000,25.942200,reg,1408264
NI,2017-10-25,25.738500,25.757900,False,25.253600,25.719100,reg,2197702
NI,2017-10-26,25.670600,25.961600,False,25.602700,25.816100,reg,1881154
NI,2017-10-27,25.641500,25.782200,False,25.437900,25.622100,reg,2724735
NI,2017-10-30,25.626900,25.744000,False,25.543900,25.617100,reg,1867308
NI,2017-10-31,25.744000,25.910000,False,25.607400,25.607400,reg,2200327
NI,2017-11-01,25.949100,26.349300,False,25.783100,26.349300,reg,3384354
NI,2017-11-02,26.300500,26.344400,False,25.763600,26.017400,reg,3368182
NI,2017-11-03,26.681200,26.759300,False,26.154100,26.212600,reg,3699443
NI,2017-11-06,26.564100,26.705900,False,26.505500,26.700800,reg,2241575
NI,2017-11-07,26.817900,26.954600,False,26.554300,26.593400,reg,1757849
NI,2017-11-08,26.866700,26.949700,False,26.691000,26.778900,reg,1462035
NI,2017-11-09,26.866700,26.944800,False,26.671500,26.759300,reg,1940666
NI,2017-11-10,26.554300,26.798400,False,26.446900,26.710500,reg,1700122
NI,2017-11-13,26.671500,26.817900,False,26.505600,26.603100,reg,2071976
NI,2017-11-14,26.925300,26.954600,False,26.495800,26.573900,reg,4529528
NI,2017-11-15,26.593400,27.101000,False,26.564100,26.983900,reg,2422316
NI,2017-11-16,26.671500,26.817900,False,26.373700,26.534800,reg,3621278
NI,2017-11-17,26.437200,26.798400,False,26.378600,26.583600,reg,6277742
NI,2017-11-20,26.446900,26.593400,False,26.281000,26.495800,reg,3164332
NI,2017-11-21,26.573900,26.671500,False,26.486000,26.534800,reg,2381719
NI,2017-11-22,26.398100,26.700800,False,26.329800,26.612900,reg,2272096
NI,2017-11-24,26.398100,26.549500,False,26.378600,26.466500,reg,611330
NI,2017-11-27,26.456700,26.505500,False,26.237000,26.437200,reg,2736967
NI,2017-11-28,26.554300,26.681200,False,26.437200,26.554300,reg,2397417
NI,2017-11-29,26.525000,26.612900,False,26.329800,26.456700,reg,2689151
NI,2017-11-30,26.876500,26.920400,False,26.564100,26.612900,reg,3768991
NI,2017-12-01,26.681200,27.022900,False,26.432300,26.944800,reg,2808754
NI,2017-12-04,26.388400,26.783800,False,26.359100,26.652000,reg,2093865
NI,2017-12-05,26.163800,26.466500,False,26.085700,26.446900,reg,1817873
NI,2017-12-06,26.359100,26.427400,False,26.183400,26.183400,reg,1946075
NI,2017-12-07,26.388400,26.437200,False,26.202900,26.378600,reg,2488136
NI,2017-12-08,26.495800,26.505500,False,26.232200,26.495800,reg,3964578
NI,2017-12-11,26.534800,26.544600,False,26.300500,26.417700,reg,3491419
NI,2017-12-12,25.763600,26.554300,False,25.695200,25.763600,reg,6008143
NI,2017-12-13,25.802600,26.027200,False,25.714700,25.802600,reg,3886503
NI,2017-12-14,25.851400,26.017400,False,25.578100,25.763600,reg,3304159
NI,2017-12-15,25.880700,26.056400,False,25.822100,25.890500,reg,6153663
NI,2017-12-18,25.363300,25.900200,False,25.304700,25.851400,reg,2537676
NI,2017-12-19,24.699400,25.455100,False,24.679900,25.412100,reg,1967462
NI,2017-12-20,24.367500,24.806800,False,24.260100,24.709200,reg,3390676
