symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
PLD,2017-08-16,60.505900,61.108500,False,60.194900,60.204600,reg,2393830
PLD,2017-08-17,59.582500,60.712400,False,59.582500,60.428100,reg,1588051
PLD,2017-08-18,59.514500,59.699200,False,58.911900,59.378400,reg,1993934
PLD,2017-08-21,60.350400,60.428100,False,59.397800,59.621400,reg,1779425
PLD,2017-08-22,59.971300,60.554500,False,59.708900,60.457300,reg,1317785
PLD,2017-08-23,61.050200,61.215400,False,59.825500,59.951900,reg,1415752
PLD,2017-08-24,60.525300,61.311700,False,60.457300,61.234900,reg,1889521
PLD,2017-08-25,60.826700,61.137700,False,60.515600,60.846100,reg,1303269
PLD,2017-08-28,60.680900,61.079400,False,60.321200,60.943300,reg,1348051
PLD,2017-08-29,60.437900,60.991900,False,60.292100,60.573900,reg,1398511
PLD,2017-08-30,60.710000,60.739200,False,60.107400,60.360100,reg,1822173
PLD,2017-08-31,61.584800,61.798600,False,60.894700,60.982200,reg,2991075
PLD,2017-09-01,61.993000,62.342900,False,61.584800,61.652800,reg,1757782
PLD,2017-09-05,61.730600,62.498500,False,61.648000,62.449900,reg,2263474
PLD,2017-09-06,61.371000,62.177600,False,61.293200,62.012500,reg,1799619
PLD,2017-09-07,61.925000,62.265200,False,61.400100,61.584800,reg,2314851
PLD,2017-09-08,62.177700,62.440100,False,61.496400,61.759800,reg,1410233
PLD,2017-09-11,63.305200,63.305200,False,62.372100,62.411000,reg,1828452
PLD,2017-09-12,62.848400,63.528800,False,62.411000,63.266300,reg,1596497
PLD,2017-09-13,62.216600,62.731700,False,61.963900,62.731700,reg,1864242
PLD,2017-09-14,63.460700,63.655100,False,62.129100,62.459600,reg,2548676
PLD,2017-09-15,63.803200,64.028300,False,62.717000,63.558600,reg,4188973
PLD,2017-09-18,63.636900,64.038100,False,63.020400,63.705400,reg,3528783
PLD,2017-09-19,63.362900,63.861900,False,63.167200,63.715200,reg,2334381
PLD,2017-09-20,63.235700,63.558600,False,62.810000,63.313900,reg,2540099
PLD,2017-09-21,62.981200,63.617300,False,62.932300,63.186700,reg,1673509
PLD,2017-09-22,62.315800,63.313900,False,62.227700,62.942100,reg,1807350
PLD,2017-09-25,62.648500,62.805100,False,61.904800,62.022200,reg,2035809
PLD,2017-09-26,62.296200,62.638700,False,62.110300,62.335400,reg,1633861
PLD,2017-09-27,61.562300,62.306000,False,60.779400,62.139600,reg,2549432
PLD,2017-09-28,62.188600,62.443000,False,61.562300,61.689500,reg,1830712
PLD,2017-09-29,62.100500,62.335400,False,61.513400,61.953700,reg,2514990
PLD,2017-10-02,62.227700,62.619200,False,61.797100,62.315800,reg,1669162
PLD,2017-10-03,62.325600,62.506600,False,61.914600,62.266900,reg,1395290
PLD,2017-10-04,62.707200,62.756200,False,62.120100,62.345200,reg,1358026
PLD,2017-10-05,63.186700,63.323700,False,62.668100,62.834400,reg,1665452
PLD,2017-10-06,63.137800,63.157400,False,62.208100,62.961700,reg,1201776
PLD,2017-10-09,63.441200,63.480300,False,63.088900,63.088900,reg,941073
PLD,2017-10-10,63.333500,64.135900,False,63.235700,63.587900,reg,1527547
PLD,2017-10-11,63.118200,63.421600,False,62.756200,63.176900,reg,2123671
PLD,2017-10-12,63.685800,63.685800,False,62.951900,63.049700,reg,2671579
PLD,2017-10-13,63.813000,64.224000,False,63.553700,63.969600,reg,1696805
PLD,2017-10-16,63.607500,64.057700,False,63.269900,63.852200,reg,1949539
PLD,2017-10-17,62.932300,63.578200,False,62.376500,63.578200,reg,2389301
PLD,2017-10-18,63.910900,63.998900,False,62.893200,62.971400,reg,3551667
PLD,2017-10-19,63.167200,64.047900,False,62.849100,63.901100,reg,2404105
PLD,2017-10-20,63.059500,63.323700,False,62.735400,63.167200,reg,2558476
