symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
SYK,2017-08-16,145.681500,146.304100,False,145.444300,146.126200,reg,876022
SYK,2017-08-17,143.655500,145.701200,False,143.625800,145.622200,reg,733289
SYK,2017-08-18,142.598000,143.734600,False,142.390600,143.220700,reg,1673285
SYK,2017-08-21,143.428200,143.566600,False,142.143400,142.558500,reg,1099681
SYK,2017-08-22,143.803700,144.969900,False,143.260200,143.517100,reg,1491759
SYK,2017-08-23,136.737600,139.771600,False,136.085300,139.346600,reg,4313112
SYK,2017-08-24,137.142800,137.360200,False,136.520200,136.875900,reg,1339958
SYK,2017-08-25,138.239800,138.689400,False,137.706100,138.299100,reg,1397244
SYK,2017-08-28,137.933400,138.951300,False,137.468900,138.951300,reg,1190710
SYK,2017-08-29,137.775300,137.933400,False,137.123000,137.370100,reg,786037
SYK,2017-08-30,137.696200,138.116200,False,136.935200,137.567700,reg,790030
SYK,2017-08-31,139.712300,139.929700,False,137.696200,137.696200,reg,1305903
SYK,2017-09-01,139.435600,140.127400,False,138.551100,139.880300,reg,932343
SYK,2017-09-05,139.949500,140.591800,False,138.803100,138.822800,reg,1643638
SYK,2017-09-06,139.465200,140.246000,False,137.874100,140.236100,reg,1108708
SYK,2017-09-07,140.552300,140.888300,False,139.342300,139.672800,reg,746778
SYK,2017-09-08,140.829000,141.387400,False,140.552300,140.562200,reg,863772
SYK,2017-09-11,142.005100,142.005100,False,140.759900,141.530700,reg,1043732
SYK,2017-09-12,141.847000,142.133600,False,141.066200,142.005100,reg,802168
SYK,2017-09-13,141.352800,142.469600,False,141.046500,141.817300,reg,1423569
SYK,2017-09-14,142.795700,143.230500,False,141.086000,141.115600,reg,1570128
SYK,2017-09-15,142.192900,143.339200,False,141.629500,143.023000,reg,3153992
SYK,2017-09-18,142.835200,143.131700,False,142.084100,142.459700,reg,810761
SYK,2017-09-19,141.362700,143.250300,False,141.224300,143.250300,reg,818150
SYK,2017-09-20,141.036600,142.024800,False,140.038400,141.777800,reg,655503
SYK,2017-09-21,139.020500,140.967400,False,138.990800,140.631400,reg,848021
SYK,2017-09-22,139.237900,139.529500,False,138.625200,139.356500,reg,713936
SYK,2017-09-25,138.496700,139.672800,False,137.313600,139.237900,reg,917166
SYK,2017-09-26,139.425700,139.860500,False,138.635100,139.139100,reg,856585
SYK,2017-09-27,139.317000,139.840800,False,138.097400,139.643100,reg,757442
SYK,2017-09-28,138.994800,139.768000,False,138.291000,139.599500,reg,686181
SYK,2017-09-29,140.779100,140.838600,False,138.984900,139.183200,reg,1204232
SYK,2017-10-02,142.256100,142.355200,False,140.442100,141.175600,reg,1056312
SYK,2017-10-03,142.375000,143.207700,False,142.176800,142.543500,reg,1105398
SYK,2017-10-04,144.694600,145.138700,False,142.603000,142.622800,reg,1177467
SYK,2017-10-05,147.014100,147.053800,False,144.228700,144.684700,reg,1686179
SYK,2017-10-06,147.698100,147.926100,False,146.627500,146.865400,reg,1129048
SYK,2017-10-09,144.654900,147.757600,False,144.248500,147.361100,reg,1472739
SYK,2017-10-10,143.425800,145.269500,False,142.295700,144.456700,reg,1714886
SYK,2017-10-11,145.130700,145.319100,False,143.643800,145.091100,reg,1394519
SYK,2017-10-12,145.279400,145.576800,False,144.501300,144.873000,reg,823549
SYK,2017-10-13,145.408300,145.497500,False,144.823400,145.180300,reg,667239
SYK,2017-10-16,146.003000,146.290500,False,144.982000,145.180300,reg,950518
SYK,2017-10-17,147.489900,147.668400,False,145.368600,145.715600,reg,1249035
SYK,2017-10-18,147.341200,148.689400,False,147.162800,147.698100,reg,866723
SYK,2017-10-19,148.015300,148.025200,False,146.756400,147.519700,reg,869003
SYK,2017-10-20,149.175100,149.194900,False,147.589100,148.679400,reg,1274442
SYK,2017-10-23,148.610100,150.552900,False,148.411800,148.798400,reg,798143
SYK,2017-10-24,148.382100,148.540700,False,147.123200,148.322600,reg,738088
SYK,2017-10-25,148.867800,149.244500,False,147.717900,148.015300,reg,1100038
SYK,2017-10-26,147.519700,149.358500,False,147.480000,148.897500,reg,1226056
SYK,2017-10-27,158.344300,159.216600,False,153.189700,153.645700,reg,3209927
SYK,2017-10-30,154.012400,158.274900,False,152.495800,158.096400,reg,2583470
SYK,2017-10-31,153.516800,155.182100,False,153.278900,153.824100,reg,1339445
SYK,2017-11-01,153.080700,153.883600,False,152.188500,153.725000,reg,1285058
SYK,2017-11-02,153.665500,154.314800,False,152.902200,153.080700,reg,1348063
SYK,2017-11-03,154.815400,154.855000,False,153.051000,153.427600,reg,1165594
SYK,2017-11-06,154.290000,155.370500,False,154.101700,154.904600,reg,787465
SYK,2017-11-07,154.855000,155.063200,False,154.299900,154.914500,reg,1114626
SYK,2017-11-08,155.092900,155.420000,False,154.270200,154.656800,reg,710209
SYK,2017-11-09,155.251500,155.697600,False,154.260300,154.815400,reg,728415
SYK,2017-11-10,153.130200,154.636900,False,150.919700,154.636900,reg,1267279
SYK,2017-11-13,154.389100,154.755900,False,152.555300,152.654400,reg,910482
SYK,2017-11-14,154.587400,155.182100,False,152.832800,153.923200,reg,1011788
SYK,2017-11-15,153.447400,155.469600,False,153.318600,154.329600,reg,701152
SYK,2017-11-16,155.112700,156.198200,False,154.656800,155.261400,reg,1281610
SYK,2017-11-17,154.042200,155.221800,False,153.824100,154.329600,reg,936961
SYK,2017-11-20,153.397900,154.141300,False,153.199600,154.091700,reg,889772
SYK,2017-11-21,154.369300,154.746000,False,153.863700,154.399000,reg,997961
SYK,2017-11-22,153.437500,154.518000,False,152.783300,154.270200,reg,874393
SYK,2017-11-24,153.318600,153.794400,False,152.267800,153.497000,reg,581130
SYK,2017-11-27,153.764600,153.863700,False,153.001400,153.586200,reg,1076784
SYK,2017-11-28,154.418900,154.557600,False,153.031100,154.369300,reg,979536
SYK,2017-11-29,152.753500,154.518000,False,152.277700,154.508100,reg,1284848
SYK,2017-11-30,154.636900,155.520800,False,152.366900,153.110400,reg,3337651
SYK,2017-12-01,154.508100,155.102800,False,152.129000,154.686500,reg,1263863
SYK,2017-12-04,151.028700,155.102800,False,150.820600,154.795500,reg,1351039
SYK,2017-12-05,150.701600,152.508700,False,150.523200,151.108000,reg,982438
SYK,2017-12-06,150.434000,151.078300,False,149.809500,150.790800,reg,1090543
SYK,2017-12-07,149.829300,152.129000,False,148.927300,150.890000,reg,1145426
SYK,2017-12-08,150.602500,151.118000,False,149.859100,150.354700,reg,688011
SYK,2017-12-11,151.375700,151.395500,False,150.334900,150.483500,reg,826184
SYK,2017-12-12,152.327300,152.971600,False,151.157600,152.327300,reg,1078024
SYK,2017-12-13,151.970400,152.852700,False,151.623500,152.426400,reg,1358810
SYK,2017-12-14,150.017700,152.307500,False,149.898700,151.871300,reg,1406741
SYK,2017-12-15,152.902200,153.199600,False,150.691700,151.276600,reg,2103750
SYK,2017-12-18,154.131400,154.636900,False,153.407800,153.586200,reg,1003624
SYK,2017-12-19,153.903400,155.162300,False,153.764600,154.438700,reg,853892
SYK,2017-12-20,153.427600,154.964000,False,152.971600,154.230500,reg,1208461
SYK,2017-12-21,152.753500,154.052100,False,152.277700,153.903400,reg,890135
SYK,2017-12-22,152.793200,153.100500,False,152.158800,152.783300,reg,581270
SYK,2017-12-26,152.862600,153.784400,False,152.800600,152.882400,reg,347507
SYK,2017-12-27,154.260300,154.498200,False,152.813000,153.288800,reg,905441
SYK,2017-12-28,154.727600,155.353900,False,154.091200,154.439200,reg,655703
SYK,2017-12-29,153.952000,155.363900,False,153.952000,155.234600,reg,785694
SYK,2018-01-02,156.994500,157.491600,False,154.757400,155.751700,reg,1060784
SYK,2018-01-03,157.879400,159.400600,False,156.507300,156.974600,reg,1398730
SYK,2018-01-04,157.829700,158.903500,False,157.566200,158.316900,reg,862436
SYK,2018-01-05,160.136400,160.394900,False,158.103100,158.525700,reg,962735
SYK,2018-01-08,162.323700,162.801000,False,159.529900,159.758500,reg,1240260
SYK,2018-01-09,159.858000,163.258400,False,158.346700,162.602100,reg,1817411
SYK,2018-01-10,158.625100,159.977300,False,156.805600,159.480100,reg,1255027
SYK,2018-01-11,157.690500,159.340900,False,156.944800,158.654900,reg,1129590
SYK,2018-01-12,157.322600,160.822400,False,157.123700,158.088200,reg,1138974
SYK,2018-01-16,158.555500,159.977300,False,157.934100,158.446100,reg,1369579
SYK,2018-01-17,159.350900,159.539800,False,158.137900,159.082400,reg,1299743
SYK,2018-01-18,159.360800,159.897700,False,159.022800,159.171900,reg,1364235
SYK,2018-01-19,160.355100,160.911900,False,159.380700,160.096600,reg,1196712
SYK,2018-01-22,161.588000,161.727200,False,159.708800,160.375000,reg,1354660
SYK,2018-01-23,161.011300,162.711500,False,160.812500,161.647600,reg,1103532
SYK,2018-01-24,163.546700,164.033900,False,161.697400,161.906200,reg,1332331
SYK,2018-01-25,164.600600,164.759700,False,163.288200,164.212800,reg,1009727
SYK,2018-01-26,167.941300,168.040800,False,164.342100,164.700000,reg,1310187
SYK,2018-01-29,167.782300,169.025100,False,167.334800,167.812100,reg,1558083
