symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
T,2017-08-16,36.177300,36.281400,False,35.921800,36.111100,reg,14973321
T,2017-08-17,35.581100,36.163100,False,35.562200,36.111100,reg,21993973
T,2017-08-18,35.363500,35.590600,False,35.202600,35.486500,reg,23017865
T,2017-08-21,35.562200,35.850800,False,35.396600,35.477100,reg,17309101
T,2017-08-22,35.940700,35.950200,False,35.543300,35.666300,reg,14737758
T,2017-08-23,35.884000,36.030600,False,35.817700,35.817700,reg,19934880
T,2017-08-24,35.656800,35.936000,False,35.614300,35.921800,reg,10941782
T,2017-08-25,35.950200,36.082700,False,35.732600,35.789300,reg,14187866
T,2017-08-28,35.902900,36.025900,False,35.723100,35.959700,reg,10128540
T,2017-08-29,35.817700,35.988100,False,35.723100,35.723100,reg,9590990
T,2017-08-30,35.647400,35.789300,False,35.590600,35.789300,reg,12433601
T,2017-08-31,35.448700,35.836600,False,35.439200,35.713600,reg,20738519
T,2017-09-01,35.467600,35.585900,False,35.410800,35.571700,reg,12769392
T,2017-09-05,35.098500,35.420300,False,34.947100,35.391900,reg,22806313
T,2017-09-06,34.606400,35.164800,False,34.568600,35.136400,reg,28370488
T,2017-09-07,33.688500,34.814600,False,33.669600,34.634800,reg,48620730
T,2017-09-08,33.679100,33.839900,False,33.215400,33.688500,reg,41051014
T,2017-09-11,33.821000,33.877800,False,33.612800,33.764200,reg,23048780
T,2017-09-12,34.313100,34.474000,False,33.896700,34.029200,reg,28285303
T,2017-09-13,34.587500,34.701100,False,34.332000,34.388800,reg,25732242
T,2017-09-14,34.369900,34.634800,False,34.275200,34.634800,reg,17884117
T,2017-09-15,35.108000,35.117500,False,34.436100,34.455000,reg,47942916
T,2017-09-18,35.410800,35.486500,False,35.032300,35.117500,reg,31974306
T,2017-09-19,36.158400,36.376000,False,35.267900,35.401300,reg,46319957
T,2017-09-20,36.366600,36.655200,False,36.163100,36.262500,reg,26869206
T,2017-09-21,36.167900,36.470700,False,36.092200,36.432800,reg,16781231
T,2017-09-22,36.518000,36.574800,False,36.158400,36.338200,reg,23212623
T,2017-09-25,37.019500,37.085800,False,36.432800,36.461200,reg,36179101
T,2017-09-26,36.641000,37.199300,False,36.622100,37.019500,reg,22605912
T,2017-09-27,36.688300,36.820800,False,36.442300,36.555800,reg,23768508
T,2017-09-28,36.943800,37.066800,False,36.518000,36.603200,reg,17368873
T,2017-09-29,37.066800,37.114200,False,36.726200,36.858700,reg,21961431
T,2017-10-02,37.010100,37.199300,False,36.972200,37.095200,reg,15604301
T,2017-10-03,37.360200,37.360200,False,36.991100,37.085800,reg,16067551
T,2017-10-04,37.379100,37.530500,False,37.137800,37.256100,reg,17913250
T,2017-10-05,37.388600,37.663000,False,37.284500,37.483200,reg,22606241
T,2017-10-06,36.976600,37.417300,False,36.928700,37.216100,reg,22431894
T,2017-10-09,36.698700,37.053200,False,36.555000,37.034100,reg,19247893
T,2017-10-10,36.890300,36.995700,False,36.669900,36.746600,reg,17317456
T,2017-10-11,36.593300,36.995700,False,36.459100,36.842400,reg,26978001
T,2017-10-12,34.360700,35.960900,False,34.332000,35.922600,reg,81976416
T,2017-10-13,34.207400,34.533200,False,33.776200,34.341500,reg,56085354
T,2017-10-16,34.657700,34.926000,False,34.255300,34.322400,reg,31097057
T,2017-10-17,34.715200,34.772700,False,34.485300,34.657700,reg,21663555
T,2017-10-18,34.217000,34.763100,False,34.025300,34.715200,reg,36764776
T,2017-10-19,34.197800,34.811100,False,34.102000,34.427800,reg,32887368
T,2017-10-20,34.054100,34.341500,False,33.919900,34.293600,reg,37835452
T,2017-10-23,33.776200,34.169100,False,33.718700,33.939100,reg,30902268
T,2017-10-24,33.402500,33.881600,False,33.354600,33.833700,reg,52235811
T,2017-10-25,32.089800,32.913800,False,31.936500,32.827600,reg,96377175
T,2017-10-26,32.271900,32.473100,False,32.195200,32.338900,reg,45121512
T,2017-10-27,32.549700,32.597600,False,32.137700,32.271900,reg,52317302
T,2017-10-30,32.137700,32.894700,False,31.994000,32.597600,reg,51695635
T,2017-10-31,32.243100,32.425200,False,32.032300,32.233500,reg,36376366
T,2017-11-01,32.147300,32.521000,False,31.898200,32.444300,reg,37844704
T,2017-11-02,31.783200,32.984700,False,31.553200,32.166500,reg,72968207
T,2017-11-03,31.907700,31.994000,False,31.572400,31.946100,reg,40239320
T,2017-11-06,31.486100,31.696900,False,31.189100,31.687400,reg,47747017
T,2017-11-07,31.687400,31.735300,False,31.346500,31.457400,reg,30060967
T,2017-11-08,32.041900,32.099400,False,31.409500,31.476600,reg,87599244
T,2017-11-09,32.578500,33.012500,False,31.955700,32.032300,reg,69915864
T,2017-11-10,32.789300,33.038400,False,32.674300,32.741400,reg,57476582
T,2017-11-13,32.741400,32.923400,False,32.712600,32.846800,reg,28861756
T,2017-11-14,32.310200,32.770100,False,32.176000,32.760500,reg,30261233
T,2017-11-15,32.396400,32.770100,False,32.243100,32.597600,reg,32882313
T,2017-11-16,33.076700,33.210900,False,32.396400,32.444300,reg,39966218
